Tono	PROPN	Tono
not	PART	not
so	ADV	so
much	ADJ	much
living	NOUN	living
as	ADP	as
a	DET	a
miscellaneous	ADJ	miscellaneous
tasting	NOUN	tasting
of	ADP	of
life	NOUN	life
.	PUNCT	.
One	PRON	one
gets	VERB	get
hit	VERB	hit
by	ADP	by
some	DET	some
unusual	ADJ	unusual
transverse	ADJ	transverse
force	NOUN	force
,	PUNCT	,
one	PRON	one
is	AUX	be
jerked	VERB	jerk
out	ADP	out
of	ADP	of
one	PRON	one
's	PART	's
stratum	NOUN	stratum
and	CCONJ	and
lives	VERB	live
crosswise	ADV	crosswise
for	ADP	for
the	DET	the
rest	NOUN	rest
of	ADP	of
the	DET	the
time	NOUN	time
,	PUNCT	,
and	CCONJ	and
,	PUNCT	,
as	ADP	as
it	PRON	it
were	AUX	be
,	PUNCT	,
in	ADP	in
a	DET	a
succession	NOUN	succession
of	ADP	of
samples	NOUN	sample
.	PUNCT	.
That	DET	that
has	AUX	have
been	AUX	be
my	PRON	my
lot	NOUN	lot
,	PUNCT	,
and	CCONJ	and
that	DET	that
is	AUX	be
what	PRON	what
has	AUX	have
set	VERB	set
me	PRON	I
at	ADP	at
last	ADV	last
writing	VERB	write
something	PRON	something
in	ADP	in
the	DET	the
nature	NOUN	nature
of	ADP	of
a	DET	a
novel	NOUN	novel
.	PUNCT	.
I	PRON	I
have	AUX	have
got	VERB	get
an	DET	an
unusual	ADJ	unusual
series	NOUN	series
of	ADP	of
impressions	NOUN	impression
that	PRON	that
I	PRON	I
want	VERB	want
very	ADV	very
urgently	ADV	urgently
to	PART	to
tell	VERB	tell
.	PUNCT	.
I	PRON	I
have	AUX	have
seen	VERB	see
life	NOUN	life
at	ADP	at
very	ADV	very
different	ADJ	different
levels	NOUN	level
,	PUNCT	,
and	CCONJ	and
at	ADP	at
all	DET	all
these	DET	these
levels	NOUN	level
I	PRON	I
have	AUX	have
seen	VERB	see
it	PRON	it
with	ADP	with
a	DET	a
sort	NOUN	sort
of	ADP	of
intimacy	NOUN	intimacy
and	CCONJ	and
in	ADP	in
good	ADJ	good
faith	NOUN	faith
.	PUNCT	.
I	PRON	I
have	AUX	have
been	AUX	be
a	DET	a
native	NOUN	native
in	ADP	in
many	ADJ	many
social	ADJ	social
countries	NOUN	country
.	PUNCT	.
I	PRON	I
have	AUX	have
been	AUX	be
the	DET	the
unwelcome	ADJ	unwelcome
guest	NOUN	guest
of	ADP	of
a	DET	a
working	NOUN	working
baker	NOUN	baker
,	PUNCT	,
my	PRON	my
cousin	NOUN	cousin
,	PUNCT	,
who	PRON	who
has	AUX	have
since	SCONJ	since
died	VERB	die
in	ADP	in
the	DET	the
Chatham	PROPN	Chatham
infirmary	NOUN	infirmary
;	PUNCT	;
I	PRON	I
have	AUX	have
eaten	VERB	eat
illegal	ADJ	illegal
snacks	NOUN	snack
—	PUNCT	—
the	DET	the
unjustifiable	ADJ	unjustifiable
gifts	NOUN	gift
of	ADP	of
footmen	NOUN	footman
—	PUNCT	—
in	ADP	in
pantries	NOUN	pantry
,	PUNCT	,
and	CCONJ	and
been	AUX	be
despised	VERB	despise
for	ADP	for
my	PRON	my
want	NOUN	want
of	ADP	of
style	NOUN	style
(	PUNCT	(
and	CCONJ	and
subsequently	ADV	subsequently
married	VERB	marry
and	CCONJ	and
divorced	VERB	divorce
)	PUNCT	)
by	ADP	by
the	DET	the
daughter	NOUN	daughter
of	ADP	of
a	DET	a
gasworks	NOUN	gasworks
clerk	NOUN	clerk
;	PUNCT	;
and	CCONJ	and
—	PUNCT	—
to	PART	to
go	VERB	go
to	ADP	to
my	PRON	my
other	ADJ	other
extreme	ADJ	extreme
—	PUNCT	—
I	PRON	I
was	AUX	be
once	ADV	once
—	PUNCT	—
oh	INTJ	oh
,	PUNCT	,
glittering	ADJ	glittering
days!—an	DET	days!—an
item	NOUN	item
in	ADP	in
the	DET	the
house	NOUN	house
-	PUNCT	-
party	NOUN	party
of	ADP	of
a	DET	a
countess	NOUN	countess
.	PUNCT	.
She	PRON	she
was	AUX	be
,	PUNCT	,
I	PRON	I
admit	VERB	admit
,	PUNCT	,
a	DET	a
countess	NOUN	countess
with	ADP	with
a	DET	a
financial	ADJ	financial
aspect	NOUN	aspect
,	PUNCT	,
but	CCONJ	but
still	ADV	still
,	PUNCT	,
you	PRON	you
know	VERB	know
,	PUNCT	,
a	DET	a
countess	NOUN	countess
.	PUNCT	.
I	PRON	I
've	AUX	have
seen	VERB	see
these	DET	these
people	NOUN	people
at	ADP	at
various	ADJ	various
angles	NOUN	angle
.	PUNCT	.
At	ADP	at
the	DET	the
dinner	NOUN	dinner
-	PUNCT	-
table	NOUN	table
I	PRON	I
've	AUX	have
met	VERB	meet
not	PART	not
simply	ADV	simply
the	DET	the
titled	ADJ	titled
but	CCONJ	but
the	DET	the
great	ADJ	great
.	PUNCT	.
On	ADP	on
one	NUM	one
occasion	NOUN	occasion
—	PUNCT	—
it	PRON	it
is	AUX	be
my	PRON	my
brightest	ADJ	bright
memory	NOUN	memory
—	PUNCT	—
I	PRON	I
upset	VERB	upset
my	PRON	my
champagne	NOUN	champagne
over	ADP	over
the	DET	the
trousers	NOUN	trouser
of	ADP	of
the	DET	the
greatest	ADJ	great
statesman	NOUN	statesman
in	ADP	in
the	DET	the
empire	NOUN	empire
—	PUNCT	—
Heaven	PROPN	Heaven
forbid	VERB	forbid
I	PRON	I
should	AUX	should
be	AUX	be
so	ADV	so
invidious	ADJ	invidious
as	ADP	as
to	PART	to
name	VERB	name
him!—in	PUNCT	him!—in
the	DET	the
warmth	NOUN	warmth
of	ADP	of
our	PRON	our
mutual	ADJ	mutual
admiration	NOUN	admiration
.	PUNCT	.
And	CCONJ	and
once	ADV	once
(	PUNCT	(
though	SCONJ	though
it	PRON	it
is	AUX	be
the	DET	the
most	ADV	most
incidental	ADJ	incidental
thing	NOUN	thing
in	ADP	in
my	PRON	my
life	NOUN	life
)	PUNCT	)
I	PRON	I
murdered	VERB	murder
a	DET	a
man	NOUN	man
....	PUNCT	....
Yes	INTJ	yes
,	PUNCT	,
I	PRON	I
've	AUX	have
seen	VERB	see
a	DET	a
curious	ADJ	curious
variety	NOUN	variety
of	ADP	of
people	NOUN	people
and	CCONJ	and
ways	NOUN	way
of	ADP	of
living	VERB	live
altogether	ADV	altogether
.	PUNCT	.
Odd	ADJ	odd
people	NOUN	people
they	PRON	they
all	DET	all
are	AUX	be
great	ADJ	great
and	CCONJ	and
small	ADJ	small
,	PUNCT	,
very	ADV	very
much	ADV	much
alike	ADJ	alike
at	ADP	at
bottom	NOUN	bottom
and	CCONJ	and
curiously	ADV	curiously
different	ADJ	different
on	ADP	on
their	PRON	their
surfaces	NOUN	surface
.	PUNCT	.
I	PRON	I
wish	VERB	wish
I	PRON	I
had	AUX	have
ranged	VERB	range
just	ADV	just
a	DET	a
little	ADJ	little
further	ADV	far
both	CCONJ	both
up	ADV	up
and	CCONJ	and
down	ADV	down
,	PUNCT	,
seeing	VERB	see
I	PRON	I
have	AUX	have
ranged	VERB	range
so	ADV	so
far	ADV	far
.	PUNCT	.
Royalty	NOUN	royalty
must	AUX	must
be	AUX	be
worth	ADJ	worth
knowing	VERB	know
and	CCONJ	and
very	ADV	very
great	ADJ	great
fun	NOUN	fun
.	PUNCT	.
But	CCONJ	but
my	PRON	my
contacts	NOUN	contact
with	ADP	with
princes	NOUN	prince
have	AUX	have
been	AUX	be
limited	VERB	limit
to	ADP	to
quite	ADV	quite
public	ADJ	public
occasions	NOUN	occasion
,	PUNCT	,
nor	CCONJ	nor
at	ADP	at
the	DET	the
other	ADJ	other
end	NOUN	end
of	ADP	of
the	DET	the
scale	NOUN	scale
have	AUX	have
I	PRON	I
had	AUX	have
what	PRON	what
I	PRON	I
should	AUX	should
call	VERB	call
an	DET	an
inside	ADJ	inside
acquaintance	NOUN	acquaintance
with	ADP	with
that	DET	that
dusty	ADJ	dusty
but	CCONJ	but
attractive	ADJ	attractive
class	NOUN	class
of	ADP	of
people	NOUN	people
who	PRON	who
go	VERB	go
about	ADV	about
on	ADP	on
the	DET	the
high	ADJ	high
-	PUNCT	-
roads	NOUN	road
drunk	ADJ	drunk
but	CCONJ	but
_	PUNCT	_
en	X	en
famille	X	famille
_	X	_
(	PUNCT	(
so	ADV	so
redeeming	VERB	redeem
the	DET	the
minor	ADJ	minor
lapse	NOUN	lapse
)	PUNCT	)
,	PUNCT	,
in	ADP	in
the	DET	the
summertime	NOUN	summertime
,	PUNCT	,
with	ADP	with
a	DET	a
perambulator	NOUN	perambulator
,	PUNCT	,
lavender	NOUN	lavender
to	PART	to
sell	VERB	sell
,	PUNCT	,
sun	NOUN	sun
-	PUNCT	-
brown	NOUN	brown
children	NOUN	child
,	PUNCT	,
a	DET	a
smell	NOUN	smell
,	PUNCT	,
and	CCONJ	and
ambiguous	ADJ	ambiguous
bundles	NOUN	bundle
that	PRON	that
fire	VERB	fire
the	DET	the
imagination	NOUN	imagination
.	PUNCT	.
Navvies	NOUN	navvy
,	PUNCT	,
farm	NOUN	farm
-	PUNCT	-
labourers	NOUN	labourer
,	PUNCT	,
sailormen	NOUN	sailorman
and	CCONJ	and
stokers	NOUN	stoker
,	PUNCT	,
all	DET	all
such	ADJ	such
as	ADP	as
sit	VERB	sit
in	ADP	in
1834	NUM	1834
beer	NOUN	beer
-	PUNCT	-
houses	NOUN	house
,	PUNCT	,
are	AUX	be
beyond	ADP	beyond
me	PRON	I
also	ADV	also
,	PUNCT	,
and	CCONJ	and
I	PRON	I
suppose	VERB	suppose
must	AUX	must
remain	VERB	remain
so	ADV	so
now	ADV	now
for	ADP	for
ever	ADV	ever
.	PUNCT	.
My	PRON	my
intercourse	NOUN	intercourse
with	ADP	with
the	DET	the
ducal	ADJ	ducal
rank	NOUN	rank
too	ADV	too
has	AUX	have
been	AUX	be
negligible	ADJ	negligible
;	PUNCT	;
I	PRON	I
once	PROPN	once
went	VERB	go
shooting	VERB	shoot
with	ADP	with
a	DET	a
duke	NOUN	duke
,	PUNCT	,
and	CCONJ	and
in	ADP	in
an	DET	an
outburst	NOUN	outburst
of	ADP	of
what	PRON	what
was	AUX	be
no	DET	no
doubt	NOUN	doubt
snobbishness	NOUN	snobbishness
,	PUNCT	,
did	AUX	do
my	PRON	my
best	ADJ	good
to	PART	to
get	VERB	get
him	PRON	he
in	ADP	in
the	DET	the
legs	NOUN	leg
.	PUNCT	.
But	CCONJ	but
that	DET	that
failed	VERB	fail
.	PUNCT	.
I	PRON	I
'm	AUX	be
sorry	ADJ	sorry
I	PRON	I
have	AUX	have
n't	PART	not
done	VERB	do
the	DET	the
whole	ADJ	whole
lot	NOUN	lot
though	ADV	though
....	PUNCT	....
You	PRON	you
will	AUX	will
ask	VERB	ask
by	ADP	by
what	DET	what
merit	NOUN	merit
I	PRON	I
achieved	VERB	achieve
this	DET	this
remarkable	ADJ	remarkable
social	ADJ	social
range	NOUN	range
,	PUNCT	,
this	DET	this
extensive	ADJ	extensive
cross	NOUN	cross
-	NOUN	-
section	NOUN	section
of	ADP	of
the	DET	the
British	ADJ	british
social	ADJ	social
organism	NOUN	organism
.	PUNCT	.
It	PRON	it
was	AUX	be
the	DET	the
Accident	PROPN	Accident
of	ADP	of
Birth	NOUN	birth
.	PUNCT	.
It	PRON	it
always	ADV	always
is	AUX	be
in	ADP	in
England	PROPN	England
.	PUNCT	.
Indeed	ADV	indeed
,	PUNCT	,
if	SCONJ	if
I	PRON	I
may	AUX	may
make	VERB	make
the	DET	the
remark	NOUN	remark
so	ADV	so
cosmic	ADJ	cosmic
,	PUNCT	,
everything	PRON	everything
is	AUX	be
.	PUNCT	.
But	CCONJ	but
that	DET	that
is	AUX	be
by	ADP	by
the	DET	the
way	NOUN	way
.	PUNCT	.
I	PRON	I
was	AUX	be
my	PRON	my
uncle	NOUN	uncle
's	PART	's
nephew	NOUN	nephew
,	PUNCT	,
and	CCONJ	and
my	PRON	my
uncle	NOUN	uncle
was	AUX	be
no	DET	no
less	ADJ	less
a	DET	a
person	NOUN	person
than	ADP	than
Edward	PROPN	Edward
Ponderevo	PROPN	Ponderevo
,	PUNCT	,
whose	DET	whose
comet	NOUN	comet
-	PUNCT	-
like	ADJ	like
transit	NOUN	transit
of	ADP	of
the	DET	the
financial	ADJ	financial
heavens	NOUN	heaven
happened	VERB	happen
—	PUNCT	—
it	PRON	it
is	AUX	be
now	ADV	now
ten	NUM	ten
years	NOUN	year
ago	ADV	ago
!	PUNCT	!
Do	AUX	do
you	PRON	you
remember	VERB	remember
the	DET	the
days	NOUN	day
of	ADP	of
Ponderevo	PROPN	Ponderevo
,	PUNCT	,
the	DET	the
_	PUNCT	_
great	ADJ	great
_	ADJ	_
days	NOUN	day
,	PUNCT	,
I	PRON	I
mean	VERB	mean
,	PUNCT	,
of	ADP	of
Ponderevo	PROPN	Ponderevo
?	PUNCT	?
Perhaps	ADV	perhaps
you	PRON	you
had	AUX	have
a	DET	a
trifle	NOUN	trifle
in	ADP	in
some	DET	some
world	NOUN	world
-	PUNCT	-
shaking	VERB	shake
enterprise	NOUN	enterprise
!	PUNCT	!
Then	ADV	then
you	PRON	you
know	VERB	know
him	PRON	he
only	ADV	only
too	ADV	too
well	ADV	well
.	PUNCT	.
Astraddle	ADV	astraddle
on	ADP	on
Tono	PROPN	Tono
-	PUNCT	-
Bungay	PROPN	Bungay
,	PUNCT	,
he	PRON	he
flashed	VERB	flash
athwart	ADP	athwart
the	DET	the
empty	ADJ	empty
heavens	NOUN	heaven
—	PUNCT	—
like	ADP	like
a	DET	a
comet	NOUN	comet
—	PUNCT	—
rather	ADV	rather
,	PUNCT	,
like	ADP	like
a	DET	a
stupendous	ADJ	stupendous
rocket!—and	NOUN	rocket!—and
overawed	ADJ	overawed
investors	NOUN	investor
spoke	VERB	speak
of	ADP	of
his	PRON	his
star	NOUN	star
.	PUNCT	.
At	ADP	at
his	PRON	his
zenith	NOUN	zenith
he	PRON	he
burst	VERB	burst
into	ADP	into
a	DET	a
cloud	NOUN	cloud
of	ADP	of
the	DET	the
most	ADV	most
magnificent	ADJ	magnificent
promotions	NOUN	promotion
.	PUNCT	.
What	PRON	what
a	DET	a
time	NOUN	time
that	DET	that
was	AUX	be
!	PUNCT	!
The	DET	the
Napoleon	PROPN	Napoleon
of	ADP	of
domestic	ADJ	domestic
conveniences	NOUN	convenience
!	PUNCT	!
I	PRON	I
was	AUX	be
his	PRON	his
nephew	NOUN	nephew
,	PUNCT	,
his	PRON	his
peculiar	ADJ	peculiar
and	CCONJ	and
intimate	ADJ	intimate
nephew	NOUN	nephew
.	PUNCT	.
I	PRON	I
was	AUX	be
hanging	VERB	hang
on	ADP	on
to	ADP	to
his	PRON	his
coat	NOUN	coat
-	PUNCT	-
tails	NOUN	tail
all	DET	all
the	DET	the
way	NOUN	way
through	ADV	through
.	PUNCT	.
I	PRON	I
made	VERB	make
pills	NOUN	pill
with	ADP	with
him	PRON	he
in	ADP	in
the	DET	the
chemist	NOUN	chemist
's	PART	's
shop	NOUN	shop
at	ADP	at
Wimblehurst	PROPN	Wimblehurst
before	ADP	before
he	PRON	he
began	VERB	begin
.	PUNCT	.
I	PRON	I
was	AUX	be
,	PUNCT	,
you	PRON	you
might	AUX	might
say	VERB	say
,	PUNCT	,
the	DET	the
stick	NOUN	stick
of	ADP	of
his	PRON	his
rocket	NOUN	rocket
;	PUNCT	;
and	CCONJ	and
after	ADP	after
our	PRON	our
tremendous	ADJ	tremendous
soar	NOUN	soar
,	PUNCT	,
after	ADP	after
he	PRON	he
had	AUX	have
played	VERB	play
with	ADP	with
millions	NOUN	million
,	PUNCT	,
a	DET	a
golden	ADJ	golden
rain	NOUN	rain
in	ADP	in
the	DET	the
sky	NOUN	sky
,	PUNCT	,
after	ADP	after
my	PRON	my
bird's	NOUN	bird's
-	PUNCT	-
eye	NOUN	eye
view	NOUN	view
of	ADP	of
the	DET	the
modern	ADJ	modern
world	NOUN	world
,	PUNCT	,
I	PRON	I
fell	VERB	fall
again	ADV	again
,	PUNCT	,
a	DET	a
little	ADJ	little
scarred	ADJ	scarred
and	CCONJ	and
blistered	ADJ	blistered
perhaps	ADV	perhaps
,	PUNCT	,
two	NUM	two
and	CCONJ	and
twenty	NUM	twenty
years	NOUN	year
older	ADJ	old
,	PUNCT	,
with	ADP	with
my	PRON	my
youth	NOUN	youth
gone	VERB	go
,	PUNCT	,
my	PRON	my
manhood	NOUN	manhood
eaten	VERB	eat
in	ADP	in
upon	SCONJ	upon
,	PUNCT	,
but	CCONJ	but
greatly	ADV	greatly
edified	VERB	edify
,	PUNCT	,
into	ADP	into
this	DET	this
Thames	PROPN	Thames
-	PUNCT	-
side	NOUN	side
yard	NOUN	yard
,	PUNCT	,
into	ADP	into
these	DET	these
white	ADJ	white
heats	NOUN	heat
and	CCONJ	and
hammerings	NOUN	hammering
,	PUNCT	,
amidst	ADP	amidst
the	DET	the
fine	ADJ	fine
realites	NOUN	realite
of	ADP	of
steel	NOUN	steel
—	PUNCT	—
to	PART	to
think	VERB	think
it	PRON	it
all	ADV	all
over	ADV	over
in	ADP	in
my	PRON	my
leisure	NOUN	leisure
and	CCONJ	and
jot	VERB	jot
down	ADP	down
the	DET	the
notes	NOUN	note
and	CCONJ	and
inconsecutive	ADJ	inconsecutive
observations	NOUN	observation
that	PRON	that
make	VERB	make
this	DET	this
book	NOUN	book
.	PUNCT	.
It	PRON	it
was	AUX	be
more	ADJ	more
,	PUNCT	,
you	PRON	you
know	VERB	know
,	PUNCT	,
than	ADP	than
a	DET	a
figurative	ADJ	figurative
soar	NOUN	soar
.	PUNCT	.
The	DET	the
zenith	NOUN	zenith
of	ADP	of
that	DET	that
career	NOUN	career
was	AUX	be
surely	ADV	surely
our	PRON	our
flight	NOUN	flight
across	ADP	across
the	DET	the
channel	NOUN	channel
in	ADP	in
the	DET	the
Lord	PROPN	Lord
Roberts	PROPN	Roberts
_	PUNCT	_
B	PROPN	B
_	PUNCT	_
....	PUNCT	....
I	PRON	I
warn	VERB	warn
you	PRON	you
this	DET	this
book	NOUN	book
is	AUX	be
going	VERB	go
to	PART	to
be	AUX	be
something	PRON	something
of	ADP	of
an	DET	an
agglomeration	NOUN	agglomeration
.	PUNCT	.
I	PRON	I
want	VERB	want
to	PART	to
trace	VERB	trace
my	PRON	my
social	ADJ	social
trajectory	NOUN	trajectory
(	PUNCT	(
and	CCONJ	and
my	PRON	my
uncle	NOUN	uncle
's	PART	's
)	PUNCT	)
as	ADP	as
the	DET	the
main	ADJ	main
line	NOUN	line
of	ADP	of
my	PRON	my
story	NOUN	story
,	PUNCT	,
but	CCONJ	but
as	ADP	as
this	DET	this
is	AUX	be
my	PRON	my
first	ADJ	first
novel	NOUN	novel
and	CCONJ	and
almost	ADV	almost
certainly	ADV	certainly
my	PRON	my
last	ADJ	last
,	PUNCT	,
I	PRON	I
want	VERB	want
to	PART	to
get	VERB	get
in	ADP	in
,	PUNCT	,
too	ADV	too
,	PUNCT	,
all	DET	all
sorts	NOUN	sort
of	ADP	of
things	NOUN	thing
that	PRON	that
struck	VERB	strike
me	PRON	I
,	PUNCT	,
things	NOUN	thing
that	PRON	that
amused	VERB	amuse
me	PRON	I
and	CCONJ	and
impressions	NOUN	impression
I	PRON	I
got	VERB	get
—	PUNCT	—
even	ADV	even
although	SCONJ	although
they	PRON	they
do	AUX	do
n't	PART	not
minister	VERB	minister
directly	ADV	directly
to	ADP	to
my	PRON	my
narrative	NOUN	narrative
at	ADV	at
all	ADV	all
.	PUNCT	.
I	PRON	I
want	VERB	want
to	PART	to
set	VERB	set
out	ADP	out
my	PRON	my
own	ADJ	own
queer	ADJ	queer
love	NOUN	love
experiences	NOUN	experience
too	ADV	too
,	PUNCT	,
such	ADJ	such
as	ADP	as
they	PRON	they
are	AUX	be
,	PUNCT	,
for	ADP	for
they	PRON	they
troubled	VERB	trouble
and	CCONJ	and
distressed	VERB	distress
and	CCONJ	and
swayed	VERB	sway
me	PRON	I
hugely	ADV	hugely
,	PUNCT	,
and	CCONJ	and
they	PRON	they
still	ADV	still
seem	VERB	seem
to	ADP	to
me	PRON	I
to	PART	to
contain	VERB	contain
all	DET	all
sorts	NOUN	sort
of	ADP	of
irrational	ADJ	irrational
and	CCONJ	and
debatable	ADJ	debatable
elements	NOUN	element
that	PRON	that
I	PRON	I
shall	AUX	shall
be	AUX	be
the	DET	the
clearer	ADV	clearer
-	PUNCT	-
headed	ADJ	headed
for	ADP	for
getting	VERB	get
on	ADP	on
paper	NOUN	paper
.	PUNCT	.
And	CCONJ	and
possibly	ADV	possibly
I	PRON	I
may	AUX	may
even	ADV	even
flow	VERB	flow
into	ADP	into
descriptions	NOUN	description
of	ADP	of
people	NOUN	people
who	PRON	who
are	AUX	be
really	ADV	really
no	DET	no
more	ADJ	more
than	ADP	than
people	NOUN	people
seen	VERB	see
in	ADP	in
transit	NOUN	transit
,	PUNCT	,
just	ADV	just
because	SCONJ	because
it	PRON	it
amuses	VERB	amuse
me	PRON	I
to	PART	to
recall	VERB	recall
what	PRON	what
they	PRON	they
said	VERB	say
and	CCONJ	and
did	AUX	do
to	ADP	to
us	PRON	we
,	PUNCT	,
and	CCONJ	and
more	ADV	more
particularly	ADV	particularly
how	SCONJ	how
they	PRON	they
behaved	VERB	behave
in	ADP	in
the	DET	the
brief	ADJ	brief
but	CCONJ	but
splendid	ADJ	splendid
glare	NOUN	glare
of	ADP	of
Tono	PROPN	Tono
-	PUNCT	-
Bungay	PROPN	Bungay
and	CCONJ	and
its	PRON	its
still	ADV	still
more	ADV	more
glaring	ADJ	glaring
offspring	NOUN	offspring
.	PUNCT	.
It	PRON	it
lit	VERB	light
some	DET	some
of	ADP	of
them	PRON	they
up	ADP	up
,	PUNCT	,
I	PRON	I
can	AUX	can
assure	VERB	assure
you	PRON	you
!	PUNCT	!
Indeed	ADV	indeed
,	PUNCT	,
I	PRON	I
want	VERB	want
to	PART	to
get	VERB	get
in	ADP	in
all	DET	all
sorts	NOUN	sort
of	ADP	of
things	NOUN	thing
.	PUNCT	.
My	PRON	my
ideas	NOUN	idea
of	ADP	of
a	DET	a
novel	NOUN	novel
all	DET	all
through	ADV	through
are	AUX	be
comprehensive	ADJ	comprehensive
rather	ADV	rather
than	ADP	than
austere	ADJ	austere
....	PUNCT	....
Tono	PROPN	Tono
-	PUNCT	-
Bungay	PROPN	Bungay
still	ADV	still
figures	VERB	figure
on	ADP	on
the	DET	the
hoardings	NOUN	hoarding
,	PUNCT	,
it	PRON	it
stands	VERB	stand
in	ADP	in
rows	NOUN	row
in	ADP	in
every	DET	every
chemist	NOUN	chemist
's	PART	's
storeroom	NOUN	storeroom
,	PUNCT	,
it	PRON	it
still	ADV	still
assuages	VERB	assuage
the	DET	the
coughs	NOUN	cough
of	ADP	of
age	NOUN	age
and	CCONJ	and
brightens	VERB	brighten
the	DET	the
elderly	ADJ	elderly
eye	NOUN	eye
and	CCONJ	and
loosens	VERB	loosen
the	DET	the
elderly	ADJ	elderly
tongue	NOUN	tongue
;	PUNCT	;
but	CCONJ	but
its	PRON	its
social	ADJ	social
glory	NOUN	glory
,	PUNCT	,
its	PRON	its
financial	ADJ	financial
illumination	NOUN	illumination
,	PUNCT	,
have	AUX	have
faded	VERB	fade
from	ADP	from
the	DET	the
world	NOUN	world
for	ADP	for
ever	ADV	ever
.	PUNCT	.
