JOHN	PROPN	JOHN
jurists	NOUN	jurist
.	PUNCT	.
The	DET	the
stories	NOUN	story
illustrate	VERB	illustrate
,	PUNCT	,
in	ADP	in
fact	NOUN	fact
,	PUNCT	,
the	DET	the
application	NOUN	application
to	ADP	to
the	DET	the
detection	NOUN	detection
of	ADP	of
crime	NOUN	crime
of	ADP	of
the	DET	the
ordinary	ADJ	ordinary
methods	NOUN	method
of	ADP	of
scientific	ADJ	scientific
research	NOUN	research
.	PUNCT	.
I	PRON	I
may	AUX	may
add	VERB	add
that	SCONJ	that
the	DET	the
experiments	NOUN	experiment
described	VERB	describe
have	AUX	have
in	ADP	in
all	DET	all
cases	NOUN	case
been	AUX	be
performed	VERB	perform
by	ADP	by
me	PRON	I
,	PUNCT	,
and	CCONJ	and
that	SCONJ	that
the	DET	the
micro	NOUN	micro
-	NOUN	-
photographs	NOUN	photograph
are	AUX	be
,	PUNCT	,
of	ADP	of
course	ADV	course
,	PUNCT	,
from	ADP	from
the	DET	the
actual	ADJ	actual
specimens	NOUN	specimen
.	PUNCT	.
I	PRON	I
take	VERB	take
this	DET	this
opportunity	NOUN	opportunity
of	ADP	of
thanking	VERB	thank
those	DET	those
of	ADP	of
my	PRON	my
friends	NOUN	friend
who	PRON	who
have	AUX	have
in	ADP	in
various	ADJ	various
ways	NOUN	way
assisted	VERB	assist
me	PRON	I
,	PUNCT	,
and	CCONJ	and
especially	ADV	especially
the	DET	the
friend	NOUN	friend
to	PART	to
whom	PRON	whom
I	PRON	I
have	AUX	have
dedicated	VERB	dedicate
this	DET	this
book	NOUN	book
;	PUNCT	;
by	ADP	by
whom	PRON	whom
I	PRON	I
have	AUX	have
been	AUX	be
relieved	VERB	relieve
of	ADP	of
the	DET	the
very	ADJ	very
considerable	ADJ	considerable
labour	NOUN	labour
of	ADP	of
making	VERB	make
the	DET	the
micro	NOUN	micro
-	NOUN	-
photographs	NOUN	photograph
,	PUNCT	,
and	CCONJ	and
greatly	ADV	greatly
assisted	VERB	assist
in	ADP	in
procuring	VERB	procure
and	CCONJ	and
preparing	VERB	prepare
specimens	NOUN	specimen
.	PUNCT	.
I	PRON	I
must	AUX	must
also	ADV	also
thank	VERB	thank
Messrs.	PROPN	Messrs.
Pearson	PROPN	Pearson
for	ADP	for
kindly	ADV	kindly
allowing	VERB	allow
me	PRON	I
the	DET	the
use	NOUN	use
of	ADP	of
Mr.	PROPN	Mr.
H.	PROPN	H.
M.	PROPN	M.
Brock	PROPN	Brock
's	PART	's
admirable	ADJ	admirable
and	CCONJ	and
sympathetic	ADJ	sympathetic
drawings	NOUN	drawing
,	PUNCT	,
and	CCONJ	and
the	DET	the
artist	NOUN	artist
himself	PRON	himself
for	ADP	for
the	DET	the
care	NOUN	care
with	ADP	with
which	DET	which
he	PRON	he
has	AUX	have
maintained	VERB	maintain
strict	ADJ	strict
fidelity	NOUN	fidelity
to	ADP	to
the	DET	the
text	NOUN	text
.	PUNCT	.
R.	PROPN	R.
A.	PROPN	A.
F.	PROPN	F.
Gravesend	PROPN	Gravesend
,	PUNCT	,
_	PUNCT	_
September	PROPN	September
21	NUM	21
,	PUNCT	,
1909	NUM	1909
_	PUNCT	_
.	PUNCT	.
CONTENTS	NOUN	content
I.	PUNCT	I.
THE	DET	the
MAN	NOUN	man
WITH	ADP	with
THE	DET	the
NAILED	VERB	nail
SHOES	NOUN	shoe
II	PROPN	II
.	PUNCT	.
THE	DET	the
STRANGER	NOUN	stranger
'S	PART	's
LATCHKEY	PROPN	LATCHKEY
III	NOUN	iii
.	PUNCT	.
THE	DET	the
ANTHROPOLOGIST	NOUN	anthropologist
AT	ADP	at
LARGE	PROPN	LARGE
IV	PROPN	IV
.	PUNCT	.
THE	DET	the
BLUE	NOUN	blue
SEQUIN	PROPN	SEQUIN
V.	PROPN	V.
THE	DET	the
MOABITE	PROPN	MOABITE
CIPHER	PROPN	CIPHER
VI	PROPN	VI
.	PUNCT	.
THE	DET	the
MANDARIN	PROPN	MANDARIN
'S	PART	's
PEARL	PROPN	PEARL
VII	PROPN	VII
.	PUNCT	.
THE	DET	the
ALUMINIUM	NOUN	aluminium
DAGGER	PROPN	DAGGER
VIII	PROPN	VIII
.	PUNCT	.
A	DET	a
MESSAGE	NOUN	message
FROM	ADP	from
THE	DET	the
DEEP	ADJ	DEEP
SEA	NOUN	SEA
ILLUSTRATIONS	NOUN	illustration
PROFESSOR	NOUN	professor
POPPLEBAUM	NOUN	popplebaum
IS	AUX	be
ENLIGHTENED	VERB	enlighten
,	PUNCT	,
_	PUNCT	_
Frontispiece	NOUN	frontispiece
_	PUNCT	_
PLAN	NOUN	plan
OF	ADP	of
ST	PROPN	ST
.	PROPN	.
BRIDGET	PROPN	BRIDGET
'S	PROPN	'S
BAY	PROPN	BAY
THE	DET	the
SERGEANT	NOUN	sergeant
'S	PART	's
SKETCH	NOUN	sketch
FLUFF	NOUN	fluff
FROM	ADP	from
KEY	PROPN	KEY
-	PUNCT	-
BARREL	PROPN	BARREL
THE	DET	the
STRANGER	NOUN	stranger
IS	AUX	be
RUN	VERB	RUN
TO	ADP	to
EARTH	NOUN	earth
TRANSVERSE	NOUN	transverse
SECTIONS	NOUN	section
OF	ADP	of
HUMAN	ADJ	human
HAIR	NOUN	hair
THORNDYKE	NOUN	thorndyke
'S	PART	's
STRATEGY	NOUN	strategy
THE	DET	the
DISCOVERY	NOUN	discovery
THE	DET	the
MOABITE	PROPN	MOABITE
CIPHRE	PROPN	CIPHRE
THE	DET	the
PROFESSOR	PROPN	PROFESSOR
'S	PART	's
ANALYSIS	NOUN	analysis
THE	DET	the
APPARITION	NOUN	apparition
IN	ADP	in
THE	DET	the
MIRROR	NOUN	mirror
THE	DET	the
ALUMINUM	NOUN	aluminum
DAGGER	VERB	dagger
THE	DET	the
SAND	NOUN	sand
FROM	ADP	from
THE	DET	the
MURDERED	VERB	murder
WOMAN	NOUN	woman
'S	PART	's
PILLOW	NOUN	pillow
HUMAN	PROPN	HUMAN
HAIR	NOUN	hair
,	PUNCT	,
SHOWING	VERB	show
ROOTS	NOUN	root
SUPERINTENDENT	NOUN	superintendent
MILLER	NOUN	miller
RISES	VERB	rise
TO	ADP	to
THE	DET	the
OCCASION	NOUN	occasion
JOHN	PROPN	JOHN
THORNDYKE	PROPN	THORNDYKE
'S	PART	's
CASES	NOUN	case
I	PROPN	I
THE	DET	the
MAN	NOUN	man
WITH	ADP	with
THE	DET	the
NAILED	VERB	nail
SHOES	NOUN	shoe
There	PRON	there
are	AUX	be
,	PUNCT	,
I	PRON	I
suppose	VERB	suppose
,	PUNCT	,
few	ADJ	few
places	NOUN	place
even	ADV	even
on	ADP	on
the	DET	the
East	PROPN	East
Coast	PROPN	Coast
of	ADP	of
England	PROPN	England
more	ADV	more
lonely	ADJ	lonely
and	CCONJ	and
remote	ADJ	remote
than	ADP	than
the	DET	the
village	NOUN	village
of	ADP	of
Little	PROPN	Little
Sundersley	PROPN	Sundersley
and	CCONJ	and
the	DET	the
country	NOUN	country
that	PRON	that
surrounds	VERB	surround
it	PRON	it
.	PUNCT	.
Far	ADV	far
from	ADP	from
any	DET	any
railway	NOUN	railway
,	PUNCT	,
and	CCONJ	and
some	DET	some
miles	NOUN	mile
distant	ADV	distant
from	ADP	from
any	DET	any
considerable	ADJ	considerable
town	NOUN	town
,	PUNCT	,
it	PRON	it
remains	VERB	remain
an	DET	an
outpost	NOUN	outpost
of	ADP	of
civilization	NOUN	civilization
,	PUNCT	,
in	ADP	in
which	DET	which
primitive	ADJ	primitive
manners	NOUN	manner
and	CCONJ	and
customs	NOUN	custom
and	CCONJ	and
old	ADJ	old
-	PUNCT	-
world	NOUN	world
tradition	NOUN	tradition
linger	VERB	linger
on	ADP	on
into	ADP	into
an	DET	an
age	NOUN	age
that	PRON	that
has	AUX	have
elsewhere	ADV	elsewhere
forgotten	VERB	forget
them	PRON	they
.	PUNCT	.
In	ADP	in
the	DET	the
summer	NOUN	summer
,	PUNCT	,
it	PRON	it
is	AUX	be
true	ADJ	true
,	PUNCT	,
a	DET	a
small	ADJ	small
contingent	NOUN	contingent
of	ADP	of
visitors	NOUN	visitor
,	PUNCT	,
adventurous	ADJ	adventurous
in	ADP	in
spirit	NOUN	spirit
,	PUNCT	,
though	SCONJ	though
mostly	ADV	mostly
of	ADP	of
sedate	ADJ	sedate
and	CCONJ	and
solitary	ADJ	solitary
habits	NOUN	habit
,	PUNCT	,
make	VERB	make
their	PRON	their
appearance	NOUN	appearance
to	PART	to
swell	VERB	swell
its	PRON	its
meagre	ADJ	meagre
population	NOUN	population
,	PUNCT	,
and	CCONJ	and
impart	VERB	impart
to	ADP	to
the	DET	the
wide	ADJ	wide
stretches	NOUN	stretch
of	ADP	of
smooth	ADJ	smooth
sand	NOUN	sand
that	PRON	that
fringe	VERB	fringe
its	VERB	it
shores	NOUN	shore
a	DET	a
fleeting	ADJ	fleeting
air	NOUN	air
of	ADP	of
life	NOUN	life
and	CCONJ	and
sober	ADJ	sober
gaiety	NOUN	gaiety
;	PUNCT	;
but	CCONJ	but
in	ADP	in
late	ADJ	late
September	PROPN	September
--	PUNCT	--
the	DET	the
season	NOUN	season
of	ADP	of
the	DET	the
year	NOUN	year
in	ADP	in
which	DET	which
I	PRON	I
made	VERB	make
its	PRON	its
acquaintance	NOUN	acquaintance
--	PUNCT	--
its	PRON	its
pasture	NOUN	pasture
-	PUNCT	-
lands	NOUN	land
lie	VERB	lie
desolate	ADJ	desolate
,	PUNCT	,
the	DET	the
rugged	ADJ	rugged
paths	NOUN	path
along	ADP	along
the	DET	the
cliffs	NOUN	cliff
are	AUX	be
seldom	ADV	seldom
trodden	VERB	tread
by	ADP	by
human	ADJ	human
foot	NOUN	foot
,	PUNCT	,
and	CCONJ	and
the	DET	the
sands	NOUN	sand
are	AUX	be
a	DET	a
desert	NOUN	desert
waste	NOUN	waste
on	ADP	on
which	DET	which
,	PUNCT	,
for	ADP	for
days	NOUN	day
together	ADV	together
,	PUNCT	,
no	DET	no
footprint	NOUN	footprint
appears	VERB	appear
save	SCONJ	save
that	DET	that
left	VERB	leave
by	ADP	by
some	DET	some
passing	VERB	pass
sea	NOUN	sea
-	PUNCT	-
bird	NOUN	bird
.	PUNCT	.
I	PRON	I
had	AUX	have
been	AUX	be
assured	VERB	assure
by	ADP	by
my	PRON	my
medical	ADJ	medical
agent	NOUN	agent
,	PUNCT	,
Mr.	PROPN	Mr.
Turcival	PROPN	Turcival
,	PUNCT	,
that	SCONJ	that
I	PRON	I
should	AUX	should
find	VERB	find
the	DET	the
practice	NOUN	practice
of	ADP	of
which	DET	which
I	PRON	I
was	AUX	be
now	ADV	now
taking	VERB	take
charge	NOUN	charge
""""	PUNCT	""""
an	DET	an
exceedingly	ADV	exceedingly
soft	ADJ	soft
billet	ADJ	billet
,	PUNCT	,
and	CCONJ	and
suitable	ADJ	suitable
for	ADP	for
a	DET	a
studious	ADJ	studious
man	NOUN	man
;	PUNCT	;
""""	PUNCT	""""
and	CCONJ	and
certainly	ADV	certainly
he	PRON	he
had	AUX	have
not	PART	not
misled	VERB	mislead
me	PRON	I
,	PUNCT	,
for	ADP	for
the	DET	the
patients	NOUN	patient
were	AUX	be
,	PUNCT	,
in	ADP	in
fact	NOUN	fact
,	PUNCT	,
so	ADV	so
few	ADJ	few
that	SCONJ	that
I	PRON	I
was	AUX	be
quite	ADV	quite
concerned	ADJ	concerned
for	ADP	for
my	PRON	my
principal	NOUN	principal
,	PUNCT	,
and	CCONJ	and
rather	ADV	rather
dull	ADJ	dull
for	ADP	for
want	NOUN	want
of	ADP	of
work	NOUN	work
.	PUNCT	.
Hence	ADV	hence
,	PUNCT	,
when	SCONJ	when
my	PRON	my
friend	NOUN	friend
John	PROPN	John
Thorndyke	PROPN	Thorndyke
,	PUNCT	,
the	DET	the
well	ADV	well
-	PUNCT	-
known	VERB	know
medico	ADJ	medico
-	PUNCT	-
legal	ADJ	legal
expert	NOUN	expert
,	PUNCT	,
proposed	VERB	propose
to	PART	to
come	VERB	come
down	ADV	down
and	CCONJ	and
stay	VERB	stay
with	ADP	with
me	PRON	I
for	ADP	for
a	DET	a
weekend	NOUN	weekend
and	CCONJ	and
perhaps	ADV	perhaps
a	DET	a
few	ADJ	few
days	NOUN	day
beyond	ADV	beyond
,	PUNCT	,
I	PRON	I
hailed	VERB	hail
the	DET	the
proposal	NOUN	proposal
with	ADP	with
delight	NOUN	delight
,	PUNCT	,
and	CCONJ	and
welcomed	VERB	welcome
him	PRON	he
with	ADP	with
open	ADJ	open
arms	NOUN	arm
.	PUNCT	.
""""	PUNCT	""""
You	PRON	you
certainly	ADV	certainly
do	AUX	do
n't	PART	not
seem	VERB	seem
to	PART	to
be	AUX	be
overworked	VERB	overwork
,	PUNCT	,
Jervis	PROPN	Jervis
,	PUNCT	,
""""	PUNCT	""""
he	PRON	he
remarked	VERB	remark
,	PUNCT	,
as	ADP	as
we	PRON	we
turned	VERB	turn
out	ADP	out
of	ADP	of
the	DET	the
gate	NOUN	gate
after	ADP	after
tea	NOUN	tea
,	PUNCT	,
on	ADP	on
the	DET	the
day	NOUN	day
of	ADP	of
his	PRON	his
arrival	NOUN	arrival
,	PUNCT	,
for	ADP	for
a	DET	a
stroll	NOUN	stroll
on	ADP	on
the	DET	the
shore	NOUN	shore
.	PUNCT	.
""""	PUNCT	""""
Is	AUX	be
this	DET	this
a	DET	a
new	ADJ	new
practice	NOUN	practice
,	PUNCT	,
or	CCONJ	or
an	DET	an
old	ADJ	old
one	NUM	one
in	ADP	in
a	DET	a
state	NOUN	state
of	ADP	of
senile	ADJ	senile
decay	NOUN	decay
?	PUNCT	?
""""	PUNCT	""""
""""	PUNCT	""""
Why	SCONJ	why
,	PUNCT	,
the	DET	the
fact	NOUN	fact
is	AUX	be
,	PUNCT	,
""""	PUNCT	""""
I	PRON	I
answered	VERB	answer
,	PUNCT	,
""""	PUNCT	""""
there	PRON	there
is	AUX	be
virtually	ADV	virtually
no	DET	no
practice	NOUN	practice
.	PUNCT	.
Cooper	PROPN	Cooper
--	PUNCT	--
my	PRON	my
principal	NOUN	principal
--	PUNCT	--
has	AUX	have
been	AUX	be
here	ADV	here
about	ADV	about
six	NUM	six
years	NOUN	year
,	PUNCT	,
and	CCONJ	and
as	ADP	as
he	PRON	he
has	AUX	have
private	ADJ	private
means	NOUN	mean
he	PRON	he
has	AUX	have
never	ADV	never
made	VERB	make
any	DET	any
serious	ADJ	serious
effort	NOUN	effort
to	PART	to
build	VERB	build
one	PRON	one
up	ADP	up
;	PUNCT	;
and	CCONJ	and
the	DET	the
other	ADJ	other
man	NOUN	man
,	PUNCT	,
Dr.	PROPN	Dr.
Burrows	PROPN	Burrows
,	PUNCT	,
being	AUX	be
uncommonly	ADV	uncommonly
keen	ADJ	keen
,	PUNCT	,
and	CCONJ	and
the	DET	the
people	NOUN	people
very	ADV	very
conservative	ADJ	conservative
,	PUNCT	,
Cooper	PROPN	Cooper
has	AUX	have
never	ADV	never
really	ADV	really
got	VERB	get
his	PRON	his
foot	NOUN	foot
in	ADP	in
.	PUNCT	.
However	ADV	however
,	PUNCT	,
it	PRON	it
does	AUX	do
n't	PART	not
seem	VERB	seem
to	PART	to
trouble	VERB	trouble
him	PRON	he
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
Well	INTJ	well
,	PUNCT	,
if	SCONJ	if
he	PRON	he
is	AUX	be
satisfied	ADJ	satisfied
,	PUNCT	,
I	PRON	I
suppose	VERB	suppose
you	PRON	you
are	AUX	be
,	PUNCT	,
""""	PUNCT	""""
said	VERB	say
Thorndyke	PROPN	Thorndyke
,	PUNCT	,
with	ADP	with
a	DET	a
smile	NOUN	smile
.	PUNCT	.
""""	PUNCT	""""
You	PRON	you
are	AUX	be
getting	VERB	get
a	DET	a
seaside	NOUN	seaside
holiday	NOUN	holiday
,	PUNCT	,
and	CCONJ	and
being	AUX	be
paid	VERB	pay
for	ADP	for
it	PRON	it
.	PUNCT	.
But	CCONJ	but
I	PRON	I
did	AUX	do
n't	PART	not
know	VERB	know
you	PRON	you
were	AUX	be
as	ADV	as
near	ADV	near
to	ADP	to
the	DET	the
sea	NOUN	sea
as	ADP	as
this	DET	this
.	PUNCT	.
""""	PUNCT	""""
We	PRON	we
were	AUX	be
entering	VERB	enter
,	PUNCT	,
as	ADP	as
he	PRON	he
spoke	VERB	speak
,	PUNCT	,
an	DET	an
artificial	ADJ	artificial
gap	NOUN	gap
-	PUNCT	-
way	NOUN	way
cut	VERB	cut
through	ADP	through
the	DET	the
low	NOUN	low
cliff	NOUN	cliff
,	PUNCT	,
forming	VERB	form
a	DET	a
steep	ADJ	steep
cart	NOUN	cart
-	PUNCT	-
track	NOUN	track
down	ADP	down
to	ADP	to
the	DET	the
shore	NOUN	shore
.	PUNCT	.
It	PRON	it
was	AUX	be
locally	ADV	locally
known	VERB	know
as	ADP	as
Sundersley	PROPN	Sundersley
Gap	PROPN	Gap
,	PUNCT	,
and	CCONJ	and
was	AUX	be
used	VERB	use
principally	ADV	principally
,	PUNCT	,
when	SCONJ	when
used	VERB	use
at	ADV	at
all	ADV	all
,	PUNCT	,
by	ADP	by
the	DET	the
farmers	NOUN	farmer
'	PART	'
carts	NOUN	cart
which	DET	which
came	VERB	come
down	ADV	down
to	PART	to
gather	VERB	gather
seaweed	NOUN	seaweed
after	ADP	after
a	DET	a
gale	NOUN	gale
.	PUNCT	.
""""	PUNCT	""""
What	DET	what
a	DET	a
magnificent	ADJ	magnificent
stretch	NOUN	stretch
of	ADP	of
sand	NOUN	sand
!	PUNCT	!
""""	PUNCT	""""
continued	VERB	continue
Thorndyke	PROPN	Thorndyke
,	PUNCT	,
as	ADP	as
we	PRON	we
reached	VERB	reach
the	DET	the
bottom	NOUN	bottom
,	PUNCT	,
and	CCONJ	and
stood	VERB	stand
looking	VERB	look
out	ADV	out
seaward	ADV	seaward
across	ADP	across
the	DET	the
deserted	ADJ	deserted
beach	NOUN	beach
.	PUNCT	.
""""	PUNCT	""""
There	PRON	there
is	AUX	be
something	PRON	something
very	ADV	very
majestic	ADJ	majestic
and	CCONJ	and
solemn	ADJ	solemn
in	ADP	in
a	DET	a
great	ADJ	great
expanse	NOUN	expanse
of	ADP	of
sandy	ADJ	sandy
shore	NOUN	shore
when	SCONJ	when
the	DET	the
tide	NOUN	tide
is	AUX	be
out	ADV	out
,	PUNCT	,
and	CCONJ	and
I	PRON	I
know	VERB	know
of	ADP	of
nothing	PRON	nothing
which	DET	which
is	AUX	be
capable	ADJ	capable
of	ADP	of
conveying	VERB	convey
the	DET	the
impression	NOUN	impression
of	ADP	of
solitude	NOUN	solitude
so	ADV	so
completely	ADV	completely
.	PUNCT	.
The	DET	the
smooth	ADJ	smooth
,	PUNCT	,
unbroken	ADJ	unbroken
surface	NOUN	surface
not	PART	not
only	ADV	only
displays	VERB	display
itself	PRON	itself
untenanted	ADJ	untenanted
for	ADP	for
the	DET	the
moment	NOUN	moment
,	PUNCT	,
but	CCONJ	but
it	PRON	it
offers	VERB	offer
convincing	ADJ	convincing
testimony	NOUN	testimony
that	SCONJ	that
it	PRON	it
has	AUX	have
lain	VERB	lie
thus	ADV	thus
undisturbed	ADJ	undisturbed
through	ADP	through
a	DET	a
considerable	ADJ	considerable
lapse	NOUN	lapse
of	ADP	of
time	NOUN	time
.	PUNCT	.
Here	ADV	here
,	PUNCT	,
for	ADP	for
instance	NOUN	instance
,	PUNCT	,
we	PRON	we
have	AUX	have
clear	ADJ	clear
evidence	NOUN	evidence
that	SCONJ	that
for	ADP	for
several	ADJ	several
days	NOUN	day
only	ADV	only
two	NUM	two
pairs	NOUN	pair
of	ADP	of
feet	NOUN	foot
besides	SCONJ	besides
our	PRON	our
own	ADJ	own
have	AUX	have
trodden	VERB	tread
this	DET	this
gap	NOUN	gap
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
How	SCONJ	how
do	AUX	do
you	PRON	you
arrive	VERB	arrive
at	ADP	at
the	DET	the
'	PUNCT	'
several	ADJ	several
days	NOUN	day
'	PUNCT	'
?	PUNCT	?
""""	PUNCT	""""
I	PRON	I
asked	VERB	ask
.	PUNCT	.
""""	PUNCT	""""
In	ADP	in
the	DET	the
simplest	ADJ	simple
manner	NOUN	manner
possible	ADJ	possible
,	PUNCT	,
""""	PUNCT	""""
he	PRON	he
replied	VERB	reply
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
moon	NOUN	moon
is	AUX	be
now	ADV	now
in	ADP	in
the	DET	the
third	ADJ	third
quarter	NOUN	quarter
,	PUNCT	,
and	CCONJ	and
the	DET	the
tides	NOUN	tide
are	AUX	be
consequently	ADV	consequently
neap	NOUN	neap
-	PUNCT	-
tides	NOUN	tide
.	PUNCT	.
You	PRON	you
can	AUX	can
see	VERB	see
quite	ADV	quite
plainly	ADV	plainly
the	DET	the
two	NUM	two
lines	NOUN	line
of	ADP	of
seaweed	NOUN	seaweed
and	CCONJ	and
jetsam	NOUN	jetsam
which	DET	which
indicate	VERB	indicate
the	DET	the
high	ADJ	high
-	PUNCT	-
water	NOUN	water
marks	NOUN	mark
of	ADP	of
the	DET	the
spring	NOUN	spring
-	PUNCT	-
tides	NOUN	tide
and	CCONJ	and
the	DET	the
neap	NOUN	neap
-	PUNCT	-
tides	NOUN	tide
respectively	ADV	respectively
.	PUNCT	.
The	DET	the
strip	NOUN	strip
of	ADP	of
comparatively	ADV	comparatively
dry	ADJ	dry
sand	NOUN	sand
between	ADP	between
them	PRON	they
,	PUNCT	,
over	ADP	over
which	DET	which
the	DET	the
water	NOUN	water
has	AUX	have
not	PART	not
risen	VERB	rise
for	ADP	for
several	ADJ	several
days	NOUN	day
,	PUNCT	,
is	AUX	be
,	PUNCT	,
as	ADP	as
you	PRON	you
see	VERB	see
,	PUNCT	,
marked	VERB	mark
by	ADP	by
only	ADV	only
two	NUM	two
sets	NOUN	set
of	ADP	of
footprints	NOUN	footprint
,	PUNCT	,
and	CCONJ	and
those	DET	those
footprints	NOUN	footprint
will	AUX	will
not	PART	not
be	AUX	be
completely	ADV	completely
obliterated	VERB	obliterate
by	ADP	by
the	DET	the
sea	NOUN	sea
until	ADP	until
the	DET	the
next	ADJ	next
spring	NOUN	spring
-	PUNCT	-
tide	NOUN	tide
--	PUNCT	--
nearly	ADV	nearly
a	DET	a
week	NOUN	week
from	ADP	from
to	ADP	to
-	PUNCT	-
day	NOUN	day
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
Yes	INTJ	yes
,	PUNCT	,
I	PRON	I
see	VERB	see
now	ADV	now
,	PUNCT	,
and	CCONJ	and
the	DET	the
thing	NOUN	thing
appears	VERB	appear
obvious	ADJ	obvious
enough	ADV	enough
when	SCONJ	when
one	PRON	one
has	AUX	have
heard	VERB	hear
the	DET	the
explanation	NOUN	explanation
.	PUNCT	.
But	CCONJ	but
it	PRON	it
is	AUX	be
really	ADV	really
rather	ADV	rather
odd	ADJ	odd
that	SCONJ	that
no	DET	no
one	PRON	one
should	AUX	should
have	AUX	have
passed	VERB	pass
through	ADP	through
this	DET	this
gap	NOUN	gap
for	ADP	for
days	NOUN	day
,	PUNCT	,
and	CCONJ	and
then	ADV	then
that	SCONJ	that
four	NUM	four
persons	NOUN	person
