&	CCONJ	&
fashioned	ADJ	fashioned
,	PUNCT	,
in	ADP	in
the	DET	the
best	ADJ	good
sense	NOUN	sense
of	ADP	of
that	DET	that
much	ADV	much
misused	VERB	misuse
word	NOUN	word
;	PUNCT	;
and	CCONJ	and
how	SCONJ	how
difficult	ADJ	difficult
it	PRON	it
was	AUX	be
,	PUNCT	,
even	ADV	even
for	ADP	for
Aliette	PROPN	Aliette
,	PUNCT	,
to	PART	to
learn	VERB	learn
that	SCONJ	that
Love	PROPN	Love
,	PUNCT	,
the	DET	the
Real	PROPN	Real
Thing	PROPN	Thing
,	PUNCT	,
had	AUX	have
come	VERB	come
into	ADP	into
their	PRON	their
lives	NOUN	life
,	PUNCT	,
making	VERB	make
blind	ADJ	blind
havoc	NOUN	havoc
of	ADP	of
every	DET	every
unwritten	ADJ	unwritten
rule	NOUN	rule
and	CCONJ	and
every	DET	every
written	VERB	write
law	NOUN	law
to	PART	to
which	DET	which
they	PRON	they
owed	VERB	owe
allegiance	NOUN	allegiance
.	PUNCT	.
For	ADP	for
all	DET	all
these	DET	these
people	NOUN	people
,	PUNCT	,
Bruntons	PROPN	Bruntons
,	PUNCT	,
Fullerfords	PROPN	Fullerfords
,	PUNCT	,
Wilberforces	PROPN	Wilberforces
,	PUNCT	,
and	CCONJ	and
Cavendishes	PROPN	Cavendishes
,	PUNCT	,
were	AUX	be
ordinary	ADJ	ordinary
orderly	ADJ	orderly
English	ADJ	english
folk	NOUN	folk
;	PUNCT	;
trained	VERB	train
in	ADP	in
that	DET	that
school	NOUN	school
of	ADP	of
thought	NOUN	thought
which	DET	which
prizes	VERB	prize
sheer	ADJ	sheer
character	NOUN	character
above	ADP	above
mere	ADJ	mere
intellect	NOUN	intellect
,	PUNCT	,
which	DET	which
teaches	VERB	teach
self	NOUN	self
-	PUNCT	-
restraint	NOUN	restraint
and	CCONJ	and
self	NOUN	self
-	PUNCT	-
respect	NOUN	respect
and	CCONJ	and
self	NOUN	self
-	PUNCT	-
reliance	NOUN	reliance
,	PUNCT	,
and	CCONJ	and
believes	VERB	believe
--	PUNCT	--
as	ADP	as
an	DET	an
ultimate	ADJ	ultimate
issue	NOUN	issue
--	PUNCT	--
in	ADP	in
""""	PUNCT	""""
playing	VERB	play
the	DET	the
game	NOUN	game
.	PUNCT	.
""""	PUNCT	""""
It	PRON	it
is	AUX	be
no	DET	no
bad	ADJ	bad
code	NOUN	code
,	PUNCT	,
this	DET	this
old	ADJ	old
-	PUNCT	-
fashioned	ADJ	fashioned
English	ADJ	english
code	NOUN	code
of	ADP	of
""""	PUNCT	""""
playing	VERB	play
the	DET	the
game	NOUN	game
.	PUNCT	.
""""	PUNCT	""""
Humanity	NOUN	humanity
owes	VERB	owe
it	PRON	it
much	ADJ	much
,	PUNCT	,
will	AUX	will
owe	VERB	owe
it	PRON	it
even	ADV	even
more	ADJ	more
.	PUNCT	.
But	CCONJ	but
,	PUNCT	,
like	ADP	like
all	DET	all
forms	NOUN	form
of	ADP	of
discipline	NOUN	discipline
,	PUNCT	,
it	PRON	it
is	AUX	be
apt	ADJ	apt
to	PART	to
weigh	VERB	weigh
heavily	ADV	heavily
on	ADP	on
individuals	NOUN	individual
;	PUNCT	;
and	CCONJ	and
heaviest	VERB	heaviest
on	ADP	on
those	DET	those
who	PRON	who
,	PUNCT	,
believing	VERB	believe
in	ADP	in
the	DET	the
code	NOUN	code
,	PUNCT	,
must	AUX	must
needs	NOUN	need
make	VERB	make
choice	NOUN	choice
between	ADP	between
playing	VERB	play
the	DET	the
game	NOUN	game
according	VERB	accord
to	ADP	to
the	DET	the
rules	NOUN	rule
of	ADP	of
love	NOUN	love
or	CCONJ	or
playing	VERB	play
the	DET	the
game	NOUN	game
according	VERB	accord
to	ADP	to
the	DET	the
rules	NOUN	rule
of	ADP	of
average	ADJ	average
imperfect	ADJ	imperfect
human	ADJ	human
beings	NOUN	being
.	PUNCT	.
That	SCONJ	that
Aliette	PROPN	Aliette
Brunton	PROPN	Brunton
and	CCONJ	and
Ronald	PROPN	Ronald
Cavendish	PROPN	Cavendish
played	VERB	play
their	PRON	their
game	NOUN	game
according	VERB	accord
to	ADP	to
the	DET	the
dictates	NOUN	dictate
of	ADP	of
love	NOUN	love
and	CCONJ	and
their	PRON	their
own	ADJ	own
consciences	NOUN	conscience
,	PUNCT	,
remains	VERB	remain
the	DET	the
sole	ADJ	sole
excuse	NOUN	excuse
--	PUNCT	--
if	SCONJ	if
excuse	NOUN	excuse
be	AUX	be
needed	VERB	need
--	PUNCT	--
for	ADP	for
the	DET	the
happiness	NOUN	happiness
to	PART	to
which	DET	which
,	PUNCT	,
at	ADP	at
long	ADV	long
last	ADV	last
,	PUNCT	,
they	PRON	they
both	DET	both
won	VERB	win
.	PUNCT	.
2	NUM	2
Of	ADP	of
the	DET	the
various	ADJ	various
English	ADJ	english
families	NOUN	family
here	ADV	here
concerned	VERB	concern
,	PUNCT	,
the	DET	the
Fullerfords	PROPN	Fullerfords
of	ADP	of
Clyst	PROPN	Clyst
Fullerford	PROPN	Fullerford
are	AUX	be
at	ADP	at
once	ADV	once
the	DET	the
oldest	ADJ	old
and	CCONJ	and
the	DET	the
least	ADV	least
distinguished	ADJ	distinguished
--	PUNCT	--
according	VERB	accord
to	ADP	to
modern	ADJ	modern
standards	NOUN	standard
of	ADP	of
""""	PUNCT	""""
distinction	NOUN	distinction
.	PUNCT	.
""""	PUNCT	""""
Yeomen	ADJ	yeomen
by	ADP	by
original	ADJ	original
birth	NOUN	birth
,	PUNCT	,
yeomen	ADJ	yeomen
at	ADP	at
heart	NOUN	heart
they	PRON	they
have	AUX	have
remained	VERB	remain
;	PUNCT	;
content	ADJ	content
,	PUNCT	,
in	ADP	in
an	DET	an
age	NOUN	age
of	ADP	of
ostentation	NOUN	ostentation
,	PUNCT	,
to	PART	to
serve	VERB	serve
their	PRON	their
country	NOUN	country
quietly	ADV	quietly
,	PUNCT	,
and	CCONJ	and
retire	VERB	retire
--	PUNCT	--
at	ADP	at
the	DET	the
end	NOUN	end
of	ADP	of
service	NOUN	service
--	PUNCT	--
into	ADP	into
the	DET	the
lush	NOUN	lush
obscurity	NOUN	obscurity
of	ADP	of
the	DET	the
Devon	PROPN	Devon
countryside	NOUN	countryside
,	PUNCT	,
there	ADV	there
maintaining	VERB	maintain
modest	ADJ	modest
state	NOUN	state
and	CCONJ	and
modest	ADJ	modest
revenues	NOUN	revenue
until	ADP	until
such	ADJ	such
time	NOUN	time
as	ADP	as
a	DET	a
Church	PROPN	Church
of	ADP	of
England	PROPN	England
God	PROPN	God
is	AUX	be
pleased	ADJ	pleased
to	PART	to
summon	VERB	summon
them	PRON	they
elsewhere	ADV	elsewhere
.	PUNCT	.
Aliette	PROPN	Aliette
's	PART	's
father	NOUN	father
,	PUNCT	,
Andrew	PROPN	Andrew
,	PUNCT	,
born	VERB	bear
in	ADP	in
the	DET	the
very	ADV	very
early	ADJ	early
sixties	NOUN	sixty
,	PUNCT	,
followed	VERB	follow
the	DET	the
Fullerford	PROPN	Fullerford
tradition	NOUN	tradition
of	ADP	of
service	NOUN	service
,	PUNCT	,
and	CCONJ	and
became	VERB	become
puisne	ADJ	puisne
judge	NOUN	judge
of	ADP	of
an	DET	an
obscure	ADJ	obscure
colonial	ADJ	colonial
law	NOUN	law
-	PUNCT	-
court	NOUN	court
before	ADP	before
retiring	VERB	retire
.	PUNCT	.
His	PRON	his
marriage	NOUN	marriage
,	PUNCT	,
at	ADP	at
the	DET	the
age	NOUN	age
of	ADP	of
twenty	NUM	twenty
-	PUNCT	-
four	NUM	four
,	PUNCT	,
to	ADP	to
Marie	PROPN	Marie
Sheldon	PROPN	Sheldon
,	PUNCT	,
caused	VERB	cause
--	PUNCT	--
owing	VERB	owe
to	ADP	to
Marie	PROPN	Marie
's	PART	's
abandonment	NOUN	abandonment
of	ADP	of
the	DET	the
rigid	ADJ	rigid
Sheldon	PROPN	Sheldon
Catholicism	PROPN	Catholicism
for	ADP	for
the	DET	the
scarcely	ADV	scarcely
less	ADV	less
rigid	ADJ	rigid
Protestantism	PROPN	Protestantism
of	ADP	of
the	DET	the
Fullerfords	PROPN	Fullerfords
--	PUNCT	--
no	DET	no
small	ADJ	small
sensation	NOUN	sensation
.	PUNCT	.
This	DET	this
marriage	NOUN	marriage
,	PUNCT	,
founded	VERB	found
on	ADP	on
a	DET	a
self	NOUN	self
-	PUNCT	-
sacrifice	NOUN	sacrifice
of	ADP	of
which	DET	which
only	ADV	only
Aliette	PROPN	Aliette
's	PART	's
mother	NOUN	mother
knew	VERB	know
the	DET	the
full	ADJ	full
burden	NOUN	burden
,	PUNCT	,
yielded	VERB	yield
two	NUM	two
sons	NOUN	son
,	PUNCT	,
both	DET	both
of	ADP	of
whom	PRON	whom
give	VERB	give
their	PRON	their
lives	NOUN	life
for	ADP	for
their	PRON	their
country	NOUN	country
early	ADV	early
in	ADP	in
1915	NUM	1915
,	PUNCT	,
and	CCONJ	and
three	NUM	three
daughters	NOUN	daughter
:	PUNCT	:
Eva	PROPN	Eva
,	PUNCT	,
eldest	ADJ	eld
of	ADP	of
the	DET	the
family	NOUN	family
,	PUNCT	,
who	PRON	who
married	VERB	marry
Captain	PROPN	Captain
Harold	PROPN	Harold
Martin	PROPN	Martin
of	ADP	of
the	DET	the
Devonshire	PROPN	Devonshire
Regiment	PROPN	Regiment
in	ADP	in
1910	NUM	1910
,	PUNCT	,
and	CCONJ	and
became	VERB	become
""""	PUNCT	""""
colonel	NOUN	colonel
's	PART	's
"lady""--a"	NOUN	"lady""--a"
position	NOUN	position
she	PRON	she
filled	VERB	fill
most	ADV	most
admirably	ADV	admirably
;	PUNCT	;
Aliette	PROPN	Aliette
;	PUNCT	;
and	CCONJ	and
Mollie	PROPN	Mollie
,	PUNCT	,
youngest	ADJ	young
of	ADP	of
the	DET	the
five	NUM	five
.	PUNCT	.
It	PRON	it
was	AUX	be
not	PART	not
until	ADP	until
her	PRON	her
second	ADJ	second
daughter	NOUN	daughter
's	PART	's
birth	NOUN	birth
in	ADP	in
1892	NUM	1892
that	SCONJ	that
the	DET	the
Sheldons	PROPN	Sheldons
fully	ADV	fully
pardoned	VERB	pardon
Marie	PROPN	Marie
Fullerford	PROPN	Fullerford
's	PART	's
infidelity	NOUN	infidelity
to	ADP	to
their	PRON	their
religion	NOUN	religion
--	PUNCT	--
Aliette	PROPN	Aliette
,	PUNCT	,
named	VERB	name
after	ADP	after
a	DET	a
remote	ADJ	remote
French	ADJ	french
ancestress	NOUN	ancestress
,	PUNCT	,
becoming	VERB	become
as	ADP	as
it	PRON	it
were	AUX	be
the	DET	the
symbol	NOUN	symbol
of	ADP	of
family	NOUN	family
reunion	NOUN	reunion
,	PUNCT	,
and	CCONJ	and
inheriting	VERB	inherit
,	PUNCT	,
on	ADP	on
the	DET	the
death	NOUN	death
of	ADP	of
Grandmama	PROPN	Grandmama
Sheldon	PROPN	Sheldon
,	PUNCT	,
a	DET	a
little	ADJ	little
block	NOUN	block
of	ADP	of
consolidated	ADJ	consolidated
stock	NOUN	stock
in	ADP	in
further	ADJ	further
token	NOUN	token
of	ADP	of
forgiveness	NOUN	forgiveness
.	PUNCT	.
Shortly	ADV	shortly
after	ADP	after
which	DET	which
inheritance	NOUN	inheritance
,	PUNCT	,
in	ADP	in
December	PROPN	December
,	PUNCT	,
1912	NUM	1912
,	PUNCT	,
she	PRON	she
married	VERB	marry
--	PUNCT	--
for	ADP	for
reasons	NOUN	reason
which	DET	which
will	AUX	will
be	AUX	be
apparent	ADJ	apparent
in	ADP	in
our	PRON	our
story	NOUN	story
--	PUNCT	--
Hector	PROPN	Hector
Brunton	PROPN	Brunton
,	PUNCT	,
barrister	NOUN	barrister
of	ADP	of
the	DET	the
Middle	PROPN	Middle
Temple	PROPN	Temple
,	PUNCT	,
and	CCONJ	and
no	DET	no
small	ADJ	small
gun	NOUN	gun
in	ADP	in
the	DET	the
legal	ADJ	legal
world	NOUN	world
;	PUNCT	;
while	SCONJ	while
Mollie	PROPN	Mollie
,	PUNCT	,
then	ADV	then
a	DET	a
long	ADJ	long
-	PUNCT	-
legged	ADJ	legged
flapper	NOUN	flapper
of	ADP	of
tomboy	NOUN	tomboy
proclivities	NOUN	proclivity
,	PUNCT	,
reluctantly	ADV	reluctantly
returned	VERB	return
from	ADP	from
Wycombe	PROPN	Wycombe
Abbey	PROPN	Abbey
School	PROPN	School
to	PART	to
""""	PUNCT	""""
assist	VERB	assist
mother	NOUN	mother
in	ADP	in
looking	VERB	look
after	ADP	after
things	NOUN	thing
.	PUNCT	.
""""	PUNCT	""""
Mollie	PROPN	Mollie
""""	PUNCT	""""
looked	VERB	look
after	ADP	after
things	NOUN	thing
""""	PUNCT	""""
until	ADP	until
the	DET	the
boys	NOUN	boy
were	AUX	be
killed	VERB	kill
.	PUNCT	.
Then	ADV	then
she	PRON	she
joined	VERB	join
the	DET	the
nursing	NOUN	nursing
service	NOUN	service
.	PUNCT	.
To	ADP	to
that	DET	that
service	NOUN	service
her	PRON	her
body	NOUN	body
still	ADV	still
bears	VERB	bear
witness	NOUN	witness
in	ADP	in
the	DET	the
shape	NOUN	shape
of	ADP	of
three	NUM	three
white	ADJ	white
scars	NOUN	scar
--	PUNCT	--
souvenirs	NOUN	souvenir
of	ADP	of
a	DET	a
bombed	VERB	bomb
hospital	NOUN	hospital
.	PUNCT	.
3	NUM	3
Although	SCONJ	although
,	PUNCT	,
socially	ADV	socially
speaking	VERB	speak
,	PUNCT	,
there	PRON	there
is	AUX	be
little	ADJ	little
if	SCONJ	if
any	DET	any
difference	NOUN	difference
between	ADP	between
the	DET	the
Fullerfords	PROPN	Fullerfords
and	CCONJ	and
the	DET	the
Bruntons	PROPN	Bruntons
,	PUNCT	,
the	DET	the
latter	ADJ	latter
family	NOUN	family
shine	VERB	shine
considerably	ADV	considerably
the	DET	the
more	ADV	more
effulgent	ADJ	effulgent
in	ADP	in
the	DET	the
public	ADJ	public
eye	NOUN	eye
.	PUNCT	.
One	PRON	one
finds	VERB	find
them	PRON	they
in	ADP	in
newspaper	NOUN	newspaper
paragraphs	NOUN	paragraph
;	PUNCT	;
one	PRON	one
sees	VERB	see
them	PRON	they
at	ADP	at
court	NOUN	court
,	PUNCT	,
at	ADP	at
the	DET	the
opera	NOUN	opera
,	PUNCT	,
at	ADP	at
the	DET	the
Ritz	PROPN	Ritz
.	PUNCT	.
In	ADP	in
fact	NOUN	fact
,	PUNCT	,
wheresoever	ADP	wheresoever
the	DET	the
ostentatious	ADJ	ostentatious
world	NOUN	world
of	ADP	of
the	DET	the
nineteen	NUM	nineteen
-	PUNCT	-
twenties	NOUN	twenty
foregathers	NOUN	foregather
,	PUNCT	,
the	DET	the
Bruntons	PROPN	Bruntons
forgather	VERB	forgather
with	ADP	with
it	PRON	it
;	PUNCT	;
not	PART	not
because	SCONJ	because
they	PRON	they
themselves	PRON	themselves
are	AUX	be
ostentatious	ADJ	ostentatious
,	PUNCT	,
but	CCONJ	but
because	SCONJ	because
,	PUNCT	,
being	AUX	be
of	ADP	of
their	PRON	their
period	NOUN	period
,	PUNCT	,
they	PRON	they
must	AUX	must
needs	VERB	needs
follow	VERB	follow
the	DET	the
tide	NOUN	tide
--	PUNCT	--
as	ADP	as
Rear	PROPN	Rear
-	PUNCT	-
Admiral	PROPN	Admiral
Billy	PROPN	Billy
,	PUNCT	,
in	ADP	in
that	DET	that
bluff	ADJ	bluff
manner	NOUN	manner
which	DET	which
fifteen	NUM	fifteen
years	NOUN	year
'	PART	'
absence	NOUN	absence
from	ADP	from
the	DET	the
sea	NOUN	sea
-	PUNCT	-
service	NOUN	service
has	AUX	have
scarcely	ADV	scarcely
impaired	VERB	impair
,	PUNCT	,
is	AUX	be
the	DET	the
first	ADJ	first
to	PART	to
admit	VERB	admit
.	PUNCT	.
""""	PUNCT	""""
Damn	INTJ	damn
vulgar	ADJ	vulgar
commercial	ADJ	commercial
age	NOUN	age
,	PUNCT	,
but	CCONJ	but
we	PRON	we
ca	AUX	can
n't	PART	not
put	VERB	put
the	DET	the
clock	NOUN	clock
back	ADP	back
,	PUNCT	,
worse	ADV	worse
luck	NOUN	luck
,	PUNCT	,
""""	PUNCT	""""
says	VERB	say
Rear	PROPN	Rear
-	PUNCT	-
Admiral	PROPN	Admiral
Billy	PROPN	Billy
Brunton	PROPN	Brunton
to	ADP	to
his	PRON	his
brother	NOUN	brother
,	PUNCT	,
Sir	PROPN	Sir
Simeon	PROPN	Simeon
Brunton	PROPN	Brunton
,	PUNCT	,
K.C.V.O.	PROPN	K.C.V.O.
,	PUNCT	,
recently	ADV	recently
retired	VERB	retire
with	ADP	with
ambassadorial	ADJ	ambassadorial
rank	NOUN	rank
from	ADP	from
the	DET	the
diplomatic	ADJ	diplomatic
service	NOUN	service
.	PUNCT	.
To	PART	to
which	DET	which
Sir	PROPN	Sir
Simeon	PROPN	Simeon
,	PUNCT	,
after	ADP	after
three	NUM	three
glasses	NOUN	glass
of	ADP	of
port	NOUN	port
,	PUNCT	,
has	AUX	have
been	AUX	be
known	VERB	know
to	PART	to
retort	VERB	retort
with	ADP	with
a	DET	a
suave	NOUN	suave
:	PUNCT	:
""""	PUNCT	""""
It	PRON	it
has	AUX	have
n't	PART	not
done	VERB	do
us	PRON	we
so	ADV	so
badly	ADV	badly
.	PUNCT	.
""""	PUNCT	""""
And	CCONJ	and
this	DET	this
is	AUX	be
a	DET	a
fact	NOUN	fact
!	PUNCT	!
For	ADP	for
the	DET	the
Bruntons	PROPN	Bruntons
,	PUNCT	,
originally	ADV	originally
sea	NOUN	sea
-	PUNCT	-
folk	NOUN	folk
,	PUNCT	,
and	CCONJ	and
as	ADP	as
poor	ADJ	poor
as	ADP	as
most	ADJ	most
of	ADP	of
the	DET	the
senior	ADJ	senior
service	NOUN	service
,	PUNCT	,
have	AUX	have
developed	VERB	develop
an	DET	an
uncanny	ADJ	uncanny
instinct	NOUN	instinct
for	ADP	for
marrying	VERB	marry
money	NOUN	money
.	PUNCT	.
Rear	PROPN	Rear
-	PUNCT	-
Admiral	PROPN	Admiral
Billy	PROPN	Billy
,	PUNCT	,
head	NOUN	head
of	ADP	of
the	DET	the
clan	NOUN	clan
and	CCONJ	and
now	ADV	now
rising	VERB	rise
seventy	NUM	seventy
-	PUNCT	-
five	NUM	five
,	PUNCT	,
yielded	VERB	yield
to	ADP	to
the	DET	the
instinct	NOUN	instinct
before	ADP	before
the	DET	the
age	NOUN	age
of	ADP	of
thirty	NUM	thirty
;	PUNCT	;
bringing	VERB	bring
home	ADV	home
as	X	as
bride	PROPN	bride
,	PUNCT	,
from	ADP	from
his	PRON	his
first	ADJ	first
cruise	NOUN	cruise
to	ADP	to
Australia	PROPN	Australia
,	PUNCT	,
a	DET	a
distinguished	ADJ	distinguished
daughter	NOUN	daughter
of	ADP	of
the	DET	the
Melbourne	PROPN	Melbourne
