EUGENE	PROPN	EUGENE
the	DET	the
'	NOUN	'
forties	NOUN	forty
,	PUNCT	,
'	NUM	'
sixties	NOUN	sixty
,	PUNCT	,
'	NOUN	'
eighties	NOUN	eighty
and	CCONJ	and
'	NOUN	'
nineties	NOUN	ninety
of	ADP	of
the	DET	the
last	ADJ	last
century	NOUN	century
,	PUNCT	,
many	ADJ	many
Russian	ADJ	russian
writers	NOUN	writer
were	AUX	be
forced	VERB	force
by	ADP	by
oppression	NOUN	oppression
and	CCONJ	and
reaction	NOUN	reaction
to	PART	to
live	VERB	live
abroad	ADV	abroad
and	CCONJ	and
to	PART	to
write	VERB	write
abroad	ADV	abroad
,	PUNCT	,
yet	CCONJ	yet
their	PRON	their
writings	NOUN	writing
would	AUX	would
reach	VERB	reach
Russia	PROPN	Russia
,	PUNCT	,
as	ADP	as
they	PRON	they
were	AUX	be
intended	VERB	intend
primarily	ADV	primarily
for	ADP	for
the	DET	the
Russian	ADJ	russian
reader	NOUN	reader
and	CCONJ	and
Russian	ADJ	russian
life	NOUN	life
.	PUNCT	.
Most	ADJ	Most
of	ADP	of
Turgeniev	PROPN	Turgeniev
's	PART	's
novels	NOUN	novel
were	AUX	be
written	VERB	write
while	SCONJ	while
he	PRON	he
was	AUX	be
in	ADP	in
France	PROPN	France
,	PUNCT	,
and	CCONJ	and
with	ADP	with
the	DET	the
exception	NOUN	exception
of	ADP	of
his	PRON	his
last	ADJ	last
short	ADJ	short
story	NOUN	story
which	DET	which
he	PRON	he
dictated	VERB	dictate
on	ADP	on
his	PRON	his
deathbed	NOUN	deathbed
,	PUNCT	,
all	DET	all
his	PRON	his
novels	NOUN	novel
and	CCONJ	and
stories	NOUN	story
were	AUX	be
written	VERB	write
in	ADP	in
Russian	PROPN	Russian
.	PUNCT	.
Hertzen	PROPN	Hertzen
,	PUNCT	,
Kropotkin	PROPN	Kropotkin
,	PUNCT	,
and	CCONJ	and
at	ADP	at
one	NUM	one
time	NOUN	time
Dostoyevski	PROPN	Dostoyevski
,	PUNCT	,
were	AUX	be
similarly	ADV	similarly
obliged	VERB	oblige
to	PART	to
write	VERB	write
while	SCONJ	while
away	ADV	away
from	ADP	from
their	PRON	their
native	ADJ	native
land	NOUN	land
.	PUNCT	.
Here	ADV	here
is	AUX	be
a	DET	a
book	NOUN	book
written	VERB	write
by	ADP	by
an	DET	an
artist	NOUN	artist
who	PRON	who
lived	VERB	live
and	CCONJ	and
still	ADV	still
lives	VERB	live
in	ADP	in
Russia	PROPN	Russia
,	PUNCT	,
and	CCONJ	and
whose	DET	whose
intimate	ADJ	intimate
love	NOUN	love
for	ADP	for
Russia	PROPN	Russia
and	CCONJ	and
her	PRON	her
suffering	NOUN	suffering
is	AUX	be
so	ADV	so
great	ADJ	great
that	SCONJ	that
he	PRON	he
finds	VERB	find
it	PRON	it
impossible	ADJ	impossible
to	PART	to
leave	VERB	leave
Russia	PROPN	Russia
even	ADV	even
in	ADP	in
these	DET	these
days	NOUN	day
of	ADP	of
stress	NOUN	stress
and	CCONJ	and
sorrow	NOUN	sorrow
.	PUNCT	.
But	CCONJ	but
his	PRON	his
book	NOUN	book
may	AUX	may
not	PART	not
appear	VERB	appear
in	ADP	in
the	DET	the
country	NOUN	country
where	SCONJ	where
it	PRON	it
was	AUX	be
written	VERB	write
.	PUNCT	.
It	PRON	it
is	AUX	be
a	DET	a
great	ADJ	great
tragedy	NOUN	tragedy
--	PUNCT	--
this	DET	this
spiritual	ADJ	spiritual
loneliness	NOUN	loneliness
of	ADP	of
the	DET	the
artist	NOUN	artist
who	PRON	who
can	AUX	can
not	PART	not
speak	VERB	speak
to	ADP	to
his	PRON	his
own	ADJ	own
people	NOUN	people
.	PUNCT	.
In	ADP	in
bringing	VERB	bring
out	ADP	out
this	DET	this
book	NOUN	book
in	ADP	in
English	PROPN	English
,	PUNCT	,
the	DET	the
author	NOUN	author
tries	VERB	try
to	PART	to
address	VERB	address
himself	PRON	himself
to	ADP	to
the	DET	the
world	NOUN	world
without	ADP	without
having	VERB	have
the	DET	the
opportunity	NOUN	opportunity
of	ADP	of
being	AUX	be
heard	VERB	hear
by	ADP	by
his	PRON	his
own	ADJ	own
people	NOUN	people
.	PUNCT	.
This	DET	this
situation	NOUN	situation
,	PUNCT	,
however	ADV	however
,	PUNCT	,
is	AUX	be
to	ADP	to
a	DET	a
great	ADJ	great
extent	NOUN	extent
symbolic	ADJ	symbolic
of	ADP	of
the	DET	the
spiritual	ADJ	spiritual
mission	NOUN	mission
of	ADP	of
Zamiatin	PROPN	Zamiatin
,	PUNCT	,
for	ADP	for
no	DET	no
matter	NOUN	matter
what	PRON	what
the	DET	the
language	NOUN	language
in	ADP	in
which	DET	which
he	PRON	he
originally	ADV	originally
writes	VERB	write
,	PUNCT	,
and	CCONJ	and
no	ADV	no
matter	ADV	matter
how	SCONJ	how
typically	ADV	typically
national	ADJ	national
his	PRON	his
artistic	ADJ	artistic
perception	NOUN	perception
and	CCONJ	and
intuition	NOUN	intuition
,	PUNCT	,
he	PRON	he
is	AUX	be
essentially	ADV	essentially
universal	ADJ	universal
and	CCONJ	and
his	PRON	his
vision	NOUN	vision
transcends	VERB	transcend
the	DET	the
boundaries	NOUN	boundary
of	ADP	of
a	DET	a
purely	ADV	purely
national	ADJ	national
art	NOUN	art
.	PUNCT	.
Moreover	ADV	moreover
,	PUNCT	,
is	AUX	be
it	PRON	it
not	PART	not
true	ADJ	true
that	SCONJ	that
the	DET	the
more	ADV	more
genuinely	ADV	genuinely
national	ADJ	national
a	DET	a
man	NOUN	man
's	PART	's
art	NOUN	art
,	PUNCT	,
and	CCONJ	and
the	DET	the
more	ADV	more
sincerely	ADV	sincerely
national	ADJ	national
his	NOUN	his
personality	NOUN	personality
,	PUNCT	,
the	DET	the
more	ADV	more
is	AUX	be
he	PRON	he
universal	ADJ	universal
?	PUNCT	?
Abraham	PROPN	Abraham
Lincoln	PROPN	Lincoln
is	AUX	be
more	ADJ	more
than	ADP	than
an	DET	an
American	ADJ	american
national	ADJ	national
figure	NOUN	figure
,	PUNCT	,
and	CCONJ	and
I	PRON	I
doubt	VERB	doubt
if	SCONJ	if
the	DET	the
appeal	NOUN	appeal
Lincoln	PROPN	Lincoln
's	PART	's
personality	NOUN	personality
makes	VERB	make
would	AUX	would
be	AUX	be
universal	ADJ	universal
as	ADP	as
it	PRON	it
is	AUX	be
if	SCONJ	if
he	PRON	he
were	AUX	be
not	PART	not
so	ADV	so
typically	ADV	typically
American	ADJ	american
.	PUNCT	.
It	PRON	it
is	AUX	be
difficult	ADJ	difficult
to	PART	to
find	VERB	find
personalities	NOUN	personality
more	ADV	more
national	ADJ	national
than	ADP	than
Tolstoi	PROPN	Tolstoi
or	CCONJ	or
Dostoyevski	PROPN	Dostoyevski
,	PUNCT	,
and	CCONJ	and
this	DET	this
is	AUX	be
perhaps	ADV	perhaps
the	DET	the
reason	NOUN	reason
why	SCONJ	why
they	PRON	they
stand	VERB	stand
out	ADP	out
as	ADP	as
two	NUM	two
of	ADP	of
the	DET	the
most	ADV	most
typically	ADV	typically
universal	ADJ	universal
minds	NOUN	mind
with	ADP	with
a	DET	a
universal	ADJ	universal
appeal	NOUN	appeal
that	PRON	that
the	DET	the
nineteenth	ADJ	nineteenth
century	NOUN	century
gave	VERB	give
us	PRON	we
.	PUNCT	.
Zamiatin	PROPN	Zamiatin
is	AUX	be
not	PART	not
so	ADV	so
great	ADJ	great
as	ADP	as
the	DET	the
men	NOUN	man
referred	VERB	refer
to	ADP	to
above	ADV	above
,	PUNCT	,
but	CCONJ	but
despite	SCONJ	despite
his	PRON	his
youth	NOUN	youth
,	PUNCT	,
he	PRON	he
already	ADV	already
proves	VERB	prove
to	PART	to
be	AUX	be
the	DET	the
bearer	NOUN	bearer
of	ADP	of
that	DET	that
quality	NOUN	quality
of	ADP	of
greatness	NOUN	greatness
which	DET	which
characterizes	VERB	characterize
a	DET	a
personality	NOUN	personality
with	ADP	with
a	DET	a
universal	ADJ	universal
appeal	NOUN	appeal
.	PUNCT	.
_	PUNCT	_
We	PRON	we
_	PUNCT	_
is	AUX	be
,	PUNCT	,
as	ADP	as
Zamiatin	PROPN	Zamiatin
himself	PRON	himself
calls	VERB	call
it	PRON	it
,	PUNCT	,
the	DET	the
most	ADV	most
jocular	ADJ	jocular
and	CCONJ	and
the	DET	the
most	ADV	most
earnest	ADJ	earnest
thing	NOUN	thing
he	PRON	he
has	AUX	have
thus	ADV	thus
far	ADV	far
written	VERB	write
.	PUNCT	.
It	PRON	it
is	AUX	be
a	DET	a
novel	NOUN	novel
that	PRON	that
puts	VERB	put
most	ADV	most
poignantly	ADV	poignantly
and	CCONJ	and
earnestly	ADV	earnestly
before	ADP	before
every	DET	every
thoughtful	ADJ	thoughtful
reader	NOUN	reader
the	DET	the
most	ADV	most
difficult	ADJ	difficult
problem	NOUN	problem
that	PRON	that
exists	VERB	exist
today	NOUN	today
in	ADP	in
the	DET	the
civilized	ADJ	civilized
world,--the	NOUN	world,--the
problem	NOUN	problem
of	ADP	of
preservation	NOUN	preservation
of	ADP	of
the	DET	the
independent	ADJ	independent
original	ADJ	original
creative	ADJ	creative
personality	NOUN	personality
.	PUNCT	.
Our	PRON	our
civilization	NOUN	civilization
today	NOUN	today
depends	VERB	depend
upon	SCONJ	upon
the	DET	the
energetic	ADJ	energetic
movement	NOUN	movement
of	ADP	of
great	ADJ	great
masses	NOUN	masse
of	ADP	of
people	NOUN	people
.	PUNCT	.
Wars	NOUN	war
,	PUNCT	,
revolutions	NOUN	revolution
,	PUNCT	,
general	ADJ	general
strikes	NOUN	strike
--	PUNCT	--
all	DET	all
these	DET	these
phenomena	NOUN	phenomenon
involve	VERB	involve
great	ADJ	great
masses	NOUN	masse
,	PUNCT	,
large	NOUN	large
groups	NOUN	group
,	PUNCT	,
enormous	ADJ	enormous
mobs	NOUN	mob
.	PUNCT	.
Despite	SCONJ	despite
the	DET	the
fact	NOUN	fact
that	SCONJ	that
there	PRON	there
is	AUX	be
hardly	ADV	hardly
a	DET	a
corner	NOUN	corner
in	ADP	in
the	DET	the
world	NOUN	world
today	NOUN	today
where	SCONJ	where
the	DET	the
average	ADJ	average
man	NOUN	man
does	AUX	do
not	PART	not
make	VERB	make
the	DET	the
trite	ADJ	trite
complaint	NOUN	complaint
,	PUNCT	,
""""	PUNCT	""""
What	PRON	what
we	PRON	we
need	VERB	need
is	AUX	be
leadership	NOUN	leadership
,	PUNCT	,
""""	PUNCT	""""
the	DET	the
world	NOUN	world
today	NOUN	today
seems	VERB	seem
for	ADP	for
a	DET	a
time	NOUN	time
at	ADP	at
least	ADJ	least
to	PART	to
have	AUX	have
lost	VERB	lose
its	PRON	its
capacity	NOUN	capacity
for	ADP	for
producing	VERB	produce
real	ADJ	real
leaders	NOUN	leader
.	PUNCT	.
For	ADP	for
our	PRON	our
great	ADJ	great
successes	NOUN	success
in	ADP	in
mechanical	ADJ	mechanical
civilization	NOUN	civilization
,	PUNCT	,
our	PRON	our
exceptional	ADJ	exceptional
efforts	NOUN	effort
in	ADP	in
efficiency	NOUN	efficiency
,	PUNCT	,
tend	VERB	tend
to	PART	to
bring	VERB	bring
into	ADP	into
play	NOUN	play
large	ADJ	large
numbers	NOUN	number
rather	ADV	rather
than	ADP	than
great	ADJ	great
individualities	NOUN	individuality
.	PUNCT	.
What	PRON	what
under	ADP	under
these	DET	these
conditions	NOUN	condition
is	AUX	be
the	DET	the
lot	NOUN	lot
of	ADP	of
a	DET	a
creative	ADJ	creative
individuality	NOUN	individuality
?	PUNCT	?
What	PRON	what
the	DET	the
tragedy	NOUN	tragedy
of	ADP	of
an	DET	an
independent	ADJ	independent
spirit	NOUN	spirit
under	ADP	under
present	ADJ	present
conditions	NOUN	condition
is	AUX	be
,	PUNCT	,
is	AUX	be
pointed	VERB	point
out	ADP	out
in	ADP	in
an	DET	an
unique	ADJ	unique
way	NOUN	way
in	ADP	in
_	X	_
We	PRON	we
_	X	_
.	PUNCT	.
The	DET	the
problem	NOUN	problem
of	ADP	of
creative	ADJ	creative
individuality	NOUN	individuality
versus	ADP	versus
mob	NOUN	mob
is	AUX	be
today	NOUN	today
not	PART	not
a	DET	a
mere	ADJ	mere
Russian	ADJ	russian
problem	NOUN	problem
.	PUNCT	.
It	PRON	it
is	AUX	be
as	ADV	as
poignant	ADJ	poignant
under	ADP	under
Bolshevist	ADJ	bolshevist
dictatorship	NOUN	dictatorship
as	ADP	as
it	PRON	it
is	AUX	be
in	ADP	in
Ford	PROPN	Ford
's	PART	's
factory	NOUN	factory
.	PUNCT	.
Of	ADV	of
course	ADV	course
the	DET	the
sincere	ADJ	sincere
,	PUNCT	,
honest	ADJ	honest
and	CCONJ	and
frank	ADJ	frank
treatment	NOUN	treatment
of	ADP	of
this	DET	this
problem	NOUN	problem
seems	VERB	seem
offensive	ADJ	offensive
to	ADP	to
anyone	PRON	anyone
who	PRON	who
prefers	VERB	prefer
to	PART	to
be	AUX	be
a	DET	a
member	NOUN	member
of	ADP	of
a	DET	a
mob	NOUN	mob
or	CCONJ	or
keep	VERB	keep
this	DET	this
or	CCONJ	or
that	DET	that
part	NOUN	part
of	ADP	of
humanity	NOUN	humanity
in	ADP	in
the	DET	the
state	NOUN	state
of	ADP	of
a	DET	a
mob	NOUN	mob
.	PUNCT	.
That	DET	that
is	AUX	be
why	SCONJ	why
_	X	_
We	PRON	we
_	PUNCT	_
could	AUX	could
not	PART	not
see	VERB	see
light	NOUN	light
in	ADP	in
Russia	PROPN	Russia
,	PUNCT	,
and	CCONJ	and
will	AUX	will
probably	ADV	probably
be	AUX	be
disliked	VERB	dislike
by	ADP	by
those	DET	those
whose	DET	whose
spiritual	ADJ	spiritual
activities	NOUN	activity
are	AUX	be
reduced	VERB	reduce
to	ADP	to
the	DET	the
mechanical	ADJ	mechanical
standards	NOUN	standard
of	ADP	of
a	DET	a
mechanical	ADJ	mechanical
civilization	NOUN	civilization
which	DET	which
is	AUX	be
devoid	ADJ	devoid
of	ADP	of
original	ADJ	original
creative	ADJ	creative
effort	NOUN	effort
.	PUNCT	.
A	DET	a
few	ADJ	few
words	NOUN	word
about	ADP	about
the	DET	the
method	NOUN	method
by	ADP	by
which	DET	which
Zamiatin	PROPN	Zamiatin
tries	VERB	try
to	PART	to
drive	VERB	drive
home	ADV	home
to	ADP	to
the	DET	the
reader	NOUN	reader
his	PRON	his
main	ADJ	main
ideas	NOUN	idea
.	PUNCT	.
It	PRON	it
is	AUX	be
the	DET	the
method	NOUN	method
of	ADP	of
""""	PUNCT	""""
Laughter	NOUN	laughter
through	ADP	through
tears	NOUN	tear
,	PUNCT	,
""""	PUNCT	""""
to	PART	to
use	VERB	use
an	DET	an
old	ADJ	old
expression	NOUN	expression
of	ADP	of
Gogol	PROPN	Gogol
.	PUNCT	.
It	PRON	it
is	AUX	be
the	DET	the
form	NOUN	form
which	DET	which
is	AUX	be
dictated	VERB	dictate
by	ADP	by
profound	ADJ	profound
love	NOUN	love
for	ADP	for
humanity	NOUN	humanity
,	PUNCT	,
mixed	VERB	mix
with	ADP	with
pity	NOUN	pity
and	CCONJ	and
hatred	NOUN	hatred
of	ADP	of
those	DET	those
factors	NOUN	factor
which	DET	which
are	AUX	be
the	DET	the
cause	NOUN	cause
of	ADP	of
the	DET	the
disindividualization	NOUN	disindividualization
of	ADP	of
man	NOUN	man
today	NOUN	today
.	PUNCT	.
It	PRON	it
is	AUX	be
the	DET	the
old	ADJ	old
emotion	NOUN	emotion
of	ADP	of
the	DET	the
ancient	ADJ	ancient
Catul	PROPN	Catul
:	PUNCT	:
""""	PUNCT	""""
Odi	X	odi
et	X	et
amo	X	amo
.	PUNCT	.
""""	PUNCT	""""
Zamiatin	PROPN	Zamiatin
laughs	VERB	laugh
in	ADP	in
order	NOUN	order
to	PART	to
hide	VERB	hide
his	PRON	his
tears	NOUN	tear
,	PUNCT	,
hence	ADV	hence
amusing	ADJ	amusing
as	ADP	as
_	X	_
We	PRON	we
_	AUX	_
may	AUX	may
seem	VERB	seem
and	CCONJ	and
really	ADV	really
is	AUX	be
,	PUNCT	,
it	PRON	it
barely	ADV	barely
conceals	VERB	conceal
a	DET	a
profound	ADJ	profound
human	NOUN	human
tragedy	NOUN	tragedy
which	DET	which
is	AUX	be
universal	ADJ	universal
today	NOUN	today
.	PUNCT	.
The	DET	the
reader	NOUN	reader
may	AUX	may
be	AUX	be
interested	ADJ	interested
in	ADP	in
knowing	VERB	know
something	PRON	something
about	ADP	about
Zamiatin	PROPN	Zamiatin
himself	PRON	himself
.	PUNCT	.
Zamiatin	PROPN	Zamiatin
does	AUX	do
not	PART	not
like	VERB	like
to	PART	to
tell	VERB	tell
about	ADP	about
himself	PRON	himself
and	CCONJ	and
the	DET	the
translator	NOUN	translator
does	AUX	do
not	PART	not
think	VERB	think
he	PRON	he
has	AUX	have
the	DET	the
right	NOUN	right
to	PART	to
tell	VERB	tell
more	ADJ	more
than	ADP	than
to	PART	to
quote	VERB	quote
Zamiatin	PROPN	Zamiatin
's	PART	's
own	ADJ	own
answer	NOUN	answer
to	ADP	to
a	DET	a
request	NOUN	request
addressed	VERB	address
to	ADP	to
him	PRON	he
a	DET	a
couple	NOUN	couple
of	ADP	of
years	NOUN	year
ago	ADV	ago
to	PART	to
write	VERB	write
his	PRON	his
autobiography	NOUN	autobiography
:	PUNCT	:
""""	PUNCT	""""
I	PRON	I
see	VERB	see
you	PRON	you
want	VERB	want
my	PRON	my
autobiography	NOUN	autobiography
by	ADP	by
all	DET	all
means	NOUN	mean
,	PUNCT	,
but	CCONJ	but
I	PRON	I
assure	VERB	assure
you	PRON	you
that	SCONJ	that
you	PRON	you
will	AUX	will
have	AUX	have
to	PART	to
limit	VERB	limit
yourself	PRON	yourself
only	ADV	only
to	ADP	to
an	DET	an
outside	ADJ	outside
inspection	NOUN	inspection
and	CCONJ	and
get	VERB	get
but	ADV	but
a	DET	a
glimpse	NOUN	glimpse
,	PUNCT	,
perhaps	ADV	perhaps
,	PUNCT	,
into	ADP	into
the	DET	the
dark	ADJ	dark
windows	NOUN	window
.	PUNCT	.
I	PRON	I
seldom	ADV	seldom
ask	VERB	ask
anybody	PRON	anybody
to	PART	to
enter	VERB	enter
.	PUNCT	.
""""	PUNCT	""""
As	ADP	as
to	ADP	to
the	DET	the
outside	NOUN	outside
,	PUNCT	,
you	PRON	you
will	AUX	will
see	VERB	see
a	DET	a
lonely	ADJ	lonely
child	NOUN	child
without	ADP	without
playmates	NOUN	playmate
,	PUNCT	,
lying	VERB	lie
on	ADP	on
a	DET	a
Turkish	ADJ	turkish
divan	NOUN	divan
,	PUNCT	,
hind	NOUN	hind
-	PUNCT	-
side	NOUN	side
up	ADV	up
,	PUNCT	,
reading	VERB	read
a	DET	a
book	NOUN	book
,	PUNCT	,
or	CCONJ	or
under	ADP	under
the	DET	the
grand	ADJ	grand
piano	NOUN	piano
while	SCONJ	while
his	PRON	his
mother	NOUN	mother
plays	VERB	play
Chopin	PROPN	Chopin
.	PUNCT	.
Two	NUM	two
steps	NOUN	step
away	ADV	away
from	ADP	from
Chopin	PROPN	Chopin
,	PUNCT	,
just	ADV	just
outside	ADP	outside
the	DET	the
window	NOUN	window
with	ADP	with
the	DET	the
geraniums	NOUN	geranium
,	PUNCT	,
in	ADP	in
the	DET	the
middle	NOUN	middle
of	ADP	of
the	DET	the
street	NOUN	street
,	PUNCT	,
there	PRON	there
is	AUX	be
a	DET	a
small	ADJ	small
pig	NOUN	pig
tied	VERB	tie
to	ADP	to
a	DET	a
stake	NOUN	stake
and	CCONJ	and
hens	NOUN	hen
fluttering	VERB	flutter
in	ADP	in
the	DET	the
dust	NOUN	dust
.	PUNCT	.
""""	PUNCT	""""
If	SCONJ	if
you	PRON	you
are	AUX	be
interested	ADJ	interested
in	ADP	in
the	DET	the
geography	NOUN	geography
,	PUNCT	,
here	ADV	here
it	PRON	it
is	AUX	be
--	PUNCT	--
Lebedyan	PROPN	Lebedyan
,	PUNCT	,
in	ADP	in
the	DET	the
most	ADV	most
Russian	ADJ	russian
Tambov	PROPN	Tambov
province	NOUN	province
about	ADP	about
which	DET	which
Tolstoi	PROPN	Tolstoi
and	CCONJ	and
Turgeniev	PROPN	Turgeniev
wrote	VERB	write
so	ADV	so
much	ADV	much
.	PUNCT	.
Chronology?--The	NOUN	chronology?--the
end	NOUN	end
of	ADP	of
the	DET	the
'	NUM	'
eighties	NOUN	eighty
and	CCONJ	and
early	ADJ	early
'	NUM	'
nineties	NOUN	ninety
,	PUNCT	,
then	ADV	then
Voronesh	PROPN	Voronesh
,	PUNCT	,
the	DET	the
_	PUNCT	_
Gymnasium	NOUN	gymnasium
pension	NOUN	pension
_	PUNCT	_
,	PUNCT	,
boredom	NOUN	boredom
and	CCONJ	and
rabid	ADJ	rabid
dogs	NOUN	dog
on	ADP	on
Main	PROPN	Main
Street	PROPN	Street
.	PUNCT	.
One	NUM	one
of	ADP	of
these	DET	these
dogs	NOUN	dog
got	VERB	get
me	PRON	I
by	ADP	by
the	DET	the
leg	NOUN	leg
.	PUNCT	.
At	ADP	at
that	DET	that
time	NOUN	time
I	PRON	I
loved	VERB	love
to	PART	to
make	VERB	make
different	ADJ	different
experiments	NOUN	experiment
on	ADP	on
myself	PRON	myself
,	PUNCT	,
and	CCONJ	and
I	PRON	I
decided	VERB	decide
to	PART	to
wait	VERB	wait
and	CCONJ	and
see	VERB	see
whether	SCONJ	whether
I	PRON	I
would	AUX	would
or	CCONJ	or
would	AUX	would
not	PART	not
get	VERB	get
the	DET	the
rabies	NOUN	rabies
and	CCONJ	and
what	PRON	what
is	AUX	be
most	ADV	most
important	ADJ	important
,	PUNCT	,
I	PRON	I
was	AUX	be
very	ADV	very
curious	ADJ	curious
:	PUNCT	:
What	PRON	what
would	AUX	would
I	PRON	I
feel	VERB	feel
when	SCONJ	when
the	DET	the
time	NOUN	time
would	AUX	would
come	VERB	come
for	ADP	for
the	DET	the
rabies	NOUN	rabies
(	PUNCT	(
about	ADV	about
two	NUM	two
weeks	NOUN	week
after	ADP	after
the	DET	the
bite	NOUN	bite
)	PUNCT	)
?	PUNCT	?
I	PRON	I
felt	VERB	feel
a	DET	a
great	ADJ	great
many	ADJ	many
things	NOUN	thing
,	PUNCT	,
but	CCONJ	but
two	NUM	two
weeks	NOUN	week
later	ADV	later
I	PRON	I
did	AUX	do
not	PART	not
get	VERB	get
the	DET	the
rabies	NOUN	rabie
,	PUNCT	,
therefore	ADV	therefore
I	PRON	I
announced	VERB	announce
to	ADP	to
the	DET	the
inspector	NOUN	inspector
in	ADP	in
the	DET	the
school	NOUN	school
that	SCONJ	that
I	PRON	I
got	VERB	get
the	DET	the
rabies	NOUN	rabies
and	CCONJ	and
must	AUX	must
go	VERB	go
at	ADP	at
once	ADV	once
to	ADP	to
Moscow	PROPN	Moscow
for	ADP	for
vaccination	NOUN	vaccination
.	PUNCT	.
""""	PUNCT	""""
In	ADP	in
the	DET	the
_	PUNCT	_
Gymnasium	PROPN	Gymnasium
_	PUNCT	_
I	PRON	I
would	AUX	would
get	VERB	get
_	PUNCT	_
A	NOUN	a
plus	CCONJ	plus
_	PUNCT	_
for	ADP	for
composition	NOUN	composition
and	CCONJ	and
was	AUX	be
not	PART	not
always	ADV	always
on	ADP	on
good	ADJ	good
terms	NOUN	term
with	ADP	with
mathematics	NOUN	mathematic
.	PUNCT	.
Perhaps	ADV	perhaps
because	SCONJ	because
of	ADP	of
that	DET	that
(	PUNCT	(
sheer	ADJ	sheer
stubbornness	NOUN	stubbornness
)	PUNCT	)
I	PRON	I
chose	VERB	choose
the	DET	the
most	ADV	most
mathematical	ADJ	mathematical
career	NOUN	career
--	PUNCT	--
