file	NOUN	file
.	PUNCT	.
ANOTHER	DET	another
SURPRISE	NOUN	surprise
VII	NOUN	vii
.	PUNCT	.
A	DET	a
GATHERING	NOUN	gathering
OF	ADP	of
OAK	PROPN	OAK
HALL	PROPN	HALL
BOYS	NOUN	boy
VIII	NOUN	viii
.	PUNCT	.
FIRE	NOUN	fire
AND	CCONJ	and
FIRECRACKERS	NOUN	firecracker
IX	NOUN	ix
.	PUNCT	.
WHAT	DET	what
NAT	NOUN	nat
POOLE	NOUN	poole
HAD	AUX	have
TO	PART	to
TELL	VERB	tell
X.	PUNCT	X.
DAVE	PROPN	DAVE
AT	ADP	at
HOME	PROPN	HOME
XI	PROPN	XI
.	PUNCT	.
OVERHEARD	NOUN	overheard
IN	ADP	in
THE	DET	the
SUMMER	NOUN	summer
-	PUNCT	-
HOUSE	NOUN	house
XII	NOUN	xii
.	PUNCT	.
ON	ADP	on
THE	DET	the
WAY	NOUN	way
WEST	PROPN	WEST
XIII	NOUN	xiii
.	PUNCT	.
DAVE	PROPN	DAVE
SEES	VERB	see
SOMETHING	PRON	something
XIV	NOUN	xiv
.	PUNCT	.
IN	ADP	in
BUTTE	PROPN	BUTTE
XV	NOUN	xv
.	PUNCT	.
AT	ADP	at
ABE	PROPN	ABE
BLOWER	PROPN	BLOWER
'S	PART	's
HOME	NOUN	home
XVI	NOUN	xvi
.	PUNCT	.
ON	ADP	on
TO	ADP	to
BLACK	ADJ	black
CAT	NOUN	cat
CAMP	NOUN	camp
XVII	NOUN	xvii
.	PUNCT	.
ALONG	ADP	along
THE	DET	the
MOUNTAIN	NOUN	mountain
TRAIL	NOUN	trail
XVIII	NOUN	xviii
.	PUNCT	.
THE	DET	the
STOLEN	NOUN	stolen
HORSES	NOUN	horse
XIX	NOUN	xix
.	PUNCT	.
THE	DET	the
NEWSPAPER	NOUN	newspaper
CLEW	NOUN	clew
XX	NOUN	xx
.	PUNCT	.
THE	DET	the
EXPOSURE	NOUN	exposure
XXI	NOUN	xxi
.	PUNCT	.
ON	ADP	on
THE	DET	the
BACK	NOUN	back
TRAIL	NOUN	trail
XXII	NOUN	xxii
.	PUNCT	.
DAVE	PROPN	DAVE
AND	CCONJ	and
THE	DET	the
MOUNTAIN	NOUN	mountain
LION	NOUN	lion
XXIII	NOUN	xxiii
.	PUNCT	.
IN	ADP	in
THE	DET	the
MOUNTAIN	NOUN	mountain
CAVE	PROPN	CAVE
XXIV	NOUN	xxiv
.	PUNCT	.
SEARCHING	NOUN	searching
FOR	ADP	for
THE	DET	the
LANDSLIDE	NOUN	landslide
MINE	NOUN	mine
XXV	NOUN	xxv
.	PUNCT	.
CAUGHT	VERB	catch
IN	ADP	in
A	DET	a
STORM	NOUN	storm
XXVI	NOUN	xxvi
.	PUNCT	.
PROWLERS	NOUN	prowler
IN	ADP	in
CAMP	PROPN	CAMP
XXVII	NUM	xxvii
.	PUNCT	.
THE	DET	the
TWO	NUM	two
PRISONERS	NOUN	prisoner
XXVIII	NOUN	xxviii
.	PUNCT	.
THE	DET	the
LOST	VERB	lose
LANDSLIDE	NOUN	landslide
MINE	PROPN	MINE
XXIX	NOUN	xxix
.	PUNCT	.
ANOTHER	DET	another
LANDSLIDE	NOUN	landslide
XXX	NUM	xxx
.	PUNCT	.
THE	DET	the
NEW	ADJ	new
CLAIM	NOUN	claim
--	PUNCT	--
CONCLUSION	NOUN	conclusion
LIST	NOUN	list
OF	ADP	of
ILLUSTRATIONS	NOUN	illustration
""""	PUNCT	""""
A	DET	a
NUGGET	NOUN	nugget
!	PUNCT	!
A	DET	a
NUGGET	NOUN	nugget
OF	ADP	of
GOLD	NOUN	gold
!	PUNCT	!
""""	PUNCT	""""
CRIED	VERB	cry
DAVE	PROPN	DAVE
.	PUNCT	.
AS	ADP	as
DAVE	PROPN	DAVE
LOOKED	VERB	look
,	PUNCT	,
HE	PRON	he
SAW	VERB	see
A	DET	a
CORNER	NOUN	corner
OF	ADP	of
A	DET	a
DISTANT	ADJ	distant
FENCE	NOUN	fence
FLY	NOUN	fly
APART	NOUN	apart
.	PUNCT	.
""""	PUNCT	""""
QUICK	PROPN	QUICK
,	PUNCT	,
SOMEBODY	PRON	somebody
HELP	VERB	help
ME	PRON	I
!	PUNCT	!
STOP	VERB	stop
THAT	DET	that
HORSE	NOUN	horse
FROM	ADP	from
FALLING	VERB	fall
OVER	ADP	over
THE	DET	the
CLIFF	NOUN	cliff
!	PUNCT	!
""""	PUNCT	""""
""""	PUNCT	""""
IF	SCONJ	if
YOU	PRON	you
LOCATE	VERB	locate
THAT	DET	that
MINE	NOUN	mine
BEFORE	ADP	before
WE	PRON	we
DO	AUX	do
,	PUNCT	,
DON'T	VERB	don't
YOU	PRON	you
DARE	VERB	dare
TO	PART	to
REMOVE	VERB	remove
ANY	DET	any
OF	ADP	of
MY	PRON	my
UNCLE	NOUN	uncle
'S	PART	's
LANDMARKS	NOUN	landmark
.	PUNCT	.
""""	PUNCT	""""
PREFACE	PROPN	PREFACE
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
in	ADP	in
the	DET	the
Gold	PROPN	Gold
Fields	PROPN	Fields
""""	PUNCT	""""
is	AUX	be
a	DET	a
complete	ADJ	complete
story	NOUN	story
in	ADP	in
itself	PRON	itself
,	PUNCT	,
but	CCONJ	but
forms	VERB	form
the	DET	the
tenth	ADJ	tenth
volume	NOUN	volume
in	ADP	in
a	DET	a
line	NOUN	line
issued	VERB	issue
under	ADP	under
the	DET	the
general	ADJ	general
title	NOUN	title
of	ADP	of
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
Series	PROPN	Series
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
series	NOUN	series
was	AUX	be
begun	VERB	begin
some	DET	some
years	NOUN	year
ago	ADV	ago
by	ADP	by
the	DET	the
publication	NOUN	publication
of	ADP	of
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
at	PROPN	at
Oak	PROPN	Oak
Hall	PROPN	Hall
,	PUNCT	,
""""	PUNCT	""""
in	ADP	in
which	DET	which
my	PRON	my
young	ADJ	young
readers	NOUN	reader
were	AUX	be
introduced	VERB	introduce
to	ADP	to
a	DET	a
typical	ADJ	typical
American	ADJ	american
lad	NOUN	lad
at	ADP	at
a	DET	a
typical	ADJ	typical
American	ADJ	american
boarding	NOUN	boarding
school	NOUN	school
.	PUNCT	.
There	PRON	there
was	AUX	be
at	ADP	at
that	DET	that
time	NOUN	time
a	DET	a
cloud	NOUN	cloud
over	ADP	over
Dave	PROPN	Dave
's	PART	's
parentage	NOUN	parentage
,	PUNCT	,
and	CCONJ	and
to	PART	to
clear	VERB	clear
this	DET	this
away	NOUN	away
he	PRON	he
took	VERB	take
a	DET	a
long	ADJ	long
sea	NOUN	sea
voyage	NOUN	voyage
,	PUNCT	,
as	ADP	as
related	VERB	relate
in	ADP	in
the	DET	the
next	ADJ	next
volume	NOUN	volume
,	PUNCT	,
entitled	VERB	entitle
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
in	ADP	in
the	DET	the
South	PROPN	South
Seas	PROPN	Seas
.	PUNCT	.
""""	PUNCT	""""
Then	ADV	then
he	PRON	he
came	VERB	come
back	ADV	back
to	ADP	to
school	NOUN	school
,	PUNCT	,
as	ADP	as
told	VERB	tell
of	ADP	of
in	ADP	in
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
's	PART	's
Return	NOUN	return
to	ADP	to
School	PROPN	School
,	PUNCT	,
""""	PUNCT	""""
in	ADP	in
which	DET	which
he	PRON	he
gave	VERB	give
one	NUM	one
of	ADP	of
the	DET	the
local	ADJ	local
bullies	NOUN	bully
a	DET	a
much	ADV	much
-	PUNCT	-
needed	VERB	need
lesson	NOUN	lesson
.	PUNCT	.
During	ADP	during
a	DET	a
vacation	NOUN	vacation
Dave	PROPN	Dave
journeyed	VERB	journey
to	ADP	to
Norway	PROPN	Norway
,	PUNCT	,
as	ADP	as
related	VERB	relate
in	ADP	in
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
in	ADP	in
the	DET	the
Far	PROPN	Far
North	PROPN	North
,	PUNCT	,
""""	PUNCT	""""
and	CCONJ	and
then	ADV	then
came	VERB	come
back	ADV	back
to	ADP	to
Oak	PROPN	Oak
Hall	PROPN	Hall
,	PUNCT	,
to	PART	to
win	VERB	win
various	ADJ	various
honors	NOUN	honor
,	PUNCT	,
as	ADP	as
recorded	VERB	record
in	ADP	in
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
and	CCONJ	and
His	PRON	his
Classmates	PROPN	Classmates
.	PUNCT	.
""""	PUNCT	""""
Then	ADV	then
came	VERB	come
an	DET	an
opportunity	NOUN	opportunity
to	PART	to
visit	VERB	visit
the	DET	the
West	PROPN	West
,	PUNCT	,
and	CCONJ	and
how	SCONJ	how
our	PRON	our
hero	NOUN	hero
did	AUX	do
this	DET	this
is	AUX	be
set	VERB	set
down	ADP	down
in	ADP	in
the	DET	the
book	NOUN	book
called	VERB	call
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
at	ADP	at
Star	PROPN	Star
Ranch	PROPN	Ranch
.	PUNCT	.
""""	PUNCT	""""
When	SCONJ	when
he	PRON	he
returned	VERB	return
to	ADP	to
school	NOUN	school
many	ADJ	many
strenuous	ADJ	strenuous
happenings	NOUN	happening
awaited	VERB	await
him	PRON	he
,	PUNCT	,
and	CCONJ	and
what	PRON	what
they	PRON	they
were	AUX	be
will	AUX	will
be	AUX	be
found	VERB	find
in	ADP	in
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
and	CCONJ	and
His	PRON	his
Rivals	PROPN	Rivals
.	PUNCT	.
""""	PUNCT	""""
Dave	PROPN	Dave
had	AUX	have
lived	VERB	live
for	ADP	for
years	NOUN	year
with	ADP	with
a	DET	a
rich	ADJ	rich
manufacturer	NOUN	manufacturer
of	ADP	of
jewelry	NOUN	jewelry
,	PUNCT	,
and	CCONJ	and
when	SCONJ	when
this	DET	this
man	NOUN	man
was	AUX	be
robbed	VERB	rob
it	PRON	it
was	AUX	be
our	PRON	our
hero	NOUN	hero
who	PRON	who
followed	VERB	follow
the	DET	the
criminals	NOUN	criminal
in	ADP	in
a	DET	a
long	ADJ	long
flight	NOUN	flight
,	PUNCT	,
as	ADP	as
told	VERB	tell
in	ADP	in
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
on	ADP	on
Cave	PROPN	Cave
Island	PROPN	Island
.	PUNCT	.
""""	PUNCT	""""
Then	ADV	then
,	PUNCT	,
with	ADP	with
the	DET	the
booty	NOUN	booty
in	ADP	in
his	PRON	his
possession	NOUN	possession
,	PUNCT	,
the	DET	the
youth	NOUN	youth
returned	VERB	return
home	ADV	home
,	PUNCT	,
to	PART	to
go	VERB	go
back	ADV	back
to	ADP	to
school	NOUN	school
,	PUNCT	,
from	ADP	from
which	DET	which
he	PRON	he
soon	ADV	soon
after	ADV	after
graduated	VERB	graduate
with	ADP	with
honors	NOUN	honor
,	PUNCT	,
as	ADP	as
shown	VERB	show
in	ADP	in
the	DET	the
volume	NOUN	volume
preceding	VERB	precede
this	DET	this
,	PUNCT	,
entitled	VERB	entitle
,	PUNCT	,
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
and	CCONJ	and
the	DET	the
Runaways	PROPN	Runaways
.	PUNCT	.
""""	PUNCT	""""
In	ADP	in
the	DET	the
present	ADJ	present
volume	NOUN	volume
are	AUX	be
related	VERB	relate
the	DET	the
particulars	NOUN	particular
of	ADP	of
another	DET	another
trip	NOUN	trip
West	ADV	west
,	PUNCT	,
taken	VERB	take
by	ADP	by
Dave	PROPN	Dave
and	CCONJ	and
his	PRON	his
chums	NOUN	chum
to	PART	to
locate	VERB	locate
a	DET	a
lost	ADJ	lost
gold	NOUN	gold
mine	NOUN	mine
,	PUNCT	,
willed	VERB	will
to	ADP	to
Roger	PROPN	Roger
Morr	PROPN	Morr
's	PART	's
mother	NOUN	mother
by	ADP	by
her	PRON	her
brother	NOUN	brother
.	PUNCT	.
The	DET	the
boys	NOUN	boy
had	AUX	have
some	DET	some
strenuous	ADJ	strenuous
happenings	NOUN	happening
,	PUNCT	,
and	CCONJ	and
some	DET	some
of	ADP	of
their	PRON	their
old	ADJ	old
-	PUNCT	-
time	NOUN	time
enemies	NOUN	enemy
did	AUX	do
all	DET	all
they	PRON	they
could	AUX	could
to	PART	to
bring	VERB	bring
their	PRON	their
expedition	NOUN	expedition
to	ADP	to
grief	NOUN	grief
.	PUNCT	.
But	CCONJ	but
Dave	PROPN	Dave
showed	VERB	show
his	PRON	his
common	ADJ	common
sense	NOUN	sense
and	CCONJ	and
his	PRON	his
courage	NOUN	courage
,	PUNCT	,
and	CCONJ	and
in	ADP	in
the	DET	the
end	NOUN	end
all	DET	all
went	VERB	go
well	ADV	well
.	PUNCT	.
Once	ADV	once
again	ADV	again
I	PRON	I
thank	VERB	thank
my	PRON	my
young	ADJ	young
readers	NOUN	reader
for	ADP	for
the	DET	the
interest	NOUN	interest
they	PRON	they
have	AUX	have
shown	VERB	show
in	ADP	in
my	PRON	my
books	NOUN	book
.	PUNCT	.
I	PRON	I
trust	VERB	trust
that	SCONJ	that
the	DET	the
reading	NOUN	reading
of	ADP	of
this	DET	this
volume	NOUN	volume
will	AUX	will
benefit	VERB	benefit
them	PRON	they
all	DET	all
.	PUNCT	.
EDWARD	PROPN	EDWARD
STRATEMEYER	PROPN	STRATEMEYER
.	PUNCT	.
_	PUNCT	_
February	PROPN	February
1	NUM	1
,	PUNCT	,
1914	NUM	1914
.	PUNCT	.
_	PUNCT	_
DAVE	PROPN	DAVE
PORTER	PROPN	PORTER
IN	ADP	in
THE	DET	the
GOLD	PROPN	GOLD
FIELDS	NOUN	field
CHAPTER	NOUN	chapter
I	PROPN	I
THE	DET	the
LANDSLIDE	PROPN	LANDSLIDE
MINE	PROPN	MINE
""""	PUNCT	""""
Roger	PROPN	Roger
,	PUNCT	,
that	DET	that
sounds	VERB	sound
like	ADP	like
a	DET	a
fairy	NOUN	fairy
tale	NOUN	tale
--	PUNCT	--
a	DET	a
real	ADJ	real
gold	NOUN	gold
mine	NOUN	mine
belonging	VERB	belong
to	ADP	to
your	PRON	your
mother	NOUN	mother
lost	VERB	lose
through	ADP	through
a	DET	a
landslide	NOUN	landslide
!	PUNCT	!
""""	PUNCT	""""
""""	PUNCT	""""
So	SCONJ	so
it	PRON	it
does	AUX	do
sound	VERB	sound
like	ADP	like
a	DET	a
fairy	NOUN	fairy
tale	NOUN	tale
,	PUNCT	,
Dave	PROPN	Dave
;	PUNCT	;
but	CCONJ	but
it	PRON	it
is	AUX	be
absolutely	ADV	absolutely
true	ADJ	true
.	PUNCT	.
The	DET	the
mine	NOUN	mine
was	AUX	be
owned	VERB	own
by	ADP	by
my	PRON	my
uncle	NOUN	uncle
,	PUNCT	,
Maurice	PROPN	Maurice
Harrison	PROPN	Harrison
,	PUNCT	,
of	ADP	of
Butte	PROPN	Butte
,	PUNCT	,
Montana	PROPN	Montana
,	PUNCT	,
and	CCONJ	and
when	SCONJ	when
he	PRON	he
died	VERB	die
he	PRON	he
left	VERB	leave
it	PRON	it
to	ADP	to
my	PRON	my
mother	NOUN	mother
,	PUNCT	,
who	PRON	who
was	AUX	be
his	PRON	his
sister	NOUN	sister
.	PUNCT	.
On	ADP	on
the	DET	the
day	NOUN	day
he	PRON	he
died	VERB	die
there	PRON	there
was	AUX	be
a	DET	a
big	ADJ	big
landslide	NOUN	landslide
in	ADP	in
the	DET	the
mountains	NOUN	mountain
,	PUNCT	,
where	SCONJ	where
the	DET	the
mine	NOUN	mine
was	AUX	be
located,--and	VERB	located,--and
that	DET	that
was	AUX	be
the	DET	the
end	NOUN	end
of	ADP	of
the	DET	the
mine	NOUN	mine
,	PUNCT	,
as	ADV	as
far	ADV	far
as	ADP	as
my	PRON	my
folks	NOUN	folk
were	AUX	be
concerned	VERB	concern
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
You	PRON	you
mean	VERB	mean
you	PRON	you
could	AUX	could
n't	PART	not
find	VERB	find
the	DET	the
mine	NOUN	mine
after	ADP	after
the	DET	the
landslide	NOUN	landslide
?	PUNCT	?
""""	PUNCT	""""
asked	VERB	ask
Dave	PROPN	Dave
Porter	PROPN	Porter
,	PUNCT	,
with	ADP	with
deep	ADJ	deep
interest	NOUN	interest
.	PUNCT	.
""""	PUNCT	""""
That	DET	that
's	AUX	be
it	PRON	it
,	PUNCT	,
""""	PUNCT	""""
answered	VERB	answer
Roger	PROPN	Roger
Morr	PROPN	Morr
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
opening	NOUN	opening
to	ADP	to
it	PRON	it
was	AUX	be
completely	ADV	completely
covered	VERB	cover
up	ADP	up
,	PUNCT	,
and	CCONJ	and
so	ADV	so
were	AUX	be
the	DET	the
stakes	NOUN	stake
,	PUNCT	,
and	CCONJ	and
several	ADJ	several
landmarks	NOUN	landmark
that	PRON	that
showed	VERB	show
where	SCONJ	where
the	DET	the
mine	NOUN	mine
was	AUX	be
located	VERB	locate
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
But	CCONJ	but
why	SCONJ	why
did	AUX	do
n't	PART	not
you	PRON	you
tell	VERB	tell
of	ADP	of
this	DET	this
before	ADV	before
,	PUNCT	,
Roger	PROPN	Roger
?	PUNCT	?
""""	PUNCT	""""
asked	VERB	ask
a	DET	a
third	ADJ	third
youth	NOUN	youth
of	ADP	of
the	DET	the
group	NOUN	group
seated	VERB	seat
on	ADP	on
the	DET	the
lawn	NOUN	lawn
of	ADP	of
Senator	PROPN	Senator
Morr	PROPN	Morr
's	PART	's
country	NOUN	country
estate	NOUN	estate
.	PUNCT	.
""""	PUNCT	""""
Did	AUX	do
it	PRON	it
just	ADV	just
happen	VERB	happen
?	PUNCT	?
""""	PUNCT	""""
""""	PUNCT	""""
No	INTJ	no
,	PUNCT	,
Phil	PROPN	Phil
,	PUNCT	,
this	DET	this
happened	VERB	happen
last	ADJ	last
fall	NOUN	fall
,	PUNCT	,
about	ADV	about
nine	NUM	nine
months	NOUN	month
ago	ADV	ago
.	PUNCT	.
The	DET	the
reason	NOUN	reason
I	PRON	I
did	AUX	do
n't	PART	not
mention	VERB	mention
it	PRON	it
to	ADP	to
you	PRON	you
and	CCONJ	and
Dave	PROPN	Dave
was	AUX	be
because	SCONJ	because
my	PRON	my
folks	NOUN	folk
wanted	VERB	want
it	PRON	it
kept	VERB	keep
quiet	ADJ	quiet
.	PUNCT	.
From	ADP	from
what	PRON	what
my	PRON	my
uncle	NOUN	uncle
said	VERB	say
in	ADP	in
his	PRON	his
will	NOUN	will
,	PUNCT	,
the	DET	the
mine	NOUN	mine
must	AUX	must
be	AUX	be
very	ADV	very
valuable	ADJ	valuable
,	PUNCT	,
and	CCONJ	and
my	PRON	my
folks	NOUN	folk
did	AUX	do
n't	PART	not
want	VERB	want
any	DET	any
outsiders	NOUN	outsider
to	PART	to
re	VERB	re
-	VERB	-
discover	VERB	discover
the	DET	the
mine	NOUN	mine
and	CCONJ	and
set	VERB	set
up	ADP	up
a	DET	a
claim	NOUN	claim
to	ADP	to
it	PRON	it
.	PUNCT	.
So	SCONJ	so
they	PRON	they
started	VERB	start
a	DET	a
search	NOUN	search
on	ADP	on
the	DET	the
quiet	ADJ	quiet
--	PUNCT	--
hiring	VERB	hire
some	DET	some
old	ADJ	old
miners	NOUN	miner
and	CCONJ	and
prospectors	NOUN	prospector
they	PRON	they
could	AUX	could
trust	VERB	trust
.	PUNCT	.
But	CCONJ	but
the	DET	the
search	NOUN	search
has	AUX	have
been	AUX	be
in	ADP	in
vain	ADJ	vain
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
Could	AUX	could
n't	PART	not
they	PRON	they
discover	VERB	discover
the	DET	the
mine	NOUN	mine
at	ADV	at
all	ADV	all
?	PUNCT	?
""""	PUNCT	""""
queried	VERB	query
Dave	PROPN	Dave
Porter	PROPN	Porter
.	PUNCT	.
""""	PUNCT	""""
No	INTJ	no
,	PUNCT	,
the	DET	the
landslide	NOUN	landslide
was	AUX	be
too	ADV	too
heavy	ADJ	heavy
and	CCONJ	and
too	ADV	too
far	ADV	far
-	PUNCT	-
reaching	VERB	reach
.	PUNCT	.
The	DET	the
old	ADJ	old
miners	NOUN	miner
told	VERB	tell
my	PRON	my
father	NOUN	father
it	PRON	it
was	AUX	be
the	DET	the
biggest	ADJ	big
landslide	NOUN	landslide
known	VERB	know
in	ADP	in
Montana	PROPN	Montana
.	PUNCT	.
One	NUM	one
prospector	NOUN	prospector
said	VERB	say
he	PRON	he
thought	VERB	think
the	DET	the
mine	NOUN	mine
must	AUX	must
now	ADV	now
be	AUX	be
a	DET	a
hundred	NUM	hundred
feet	NOUN	foot
or	CCONJ	or
more	ADV	more
underground	ADV	underground
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
Had	AUX	have
your	PRON	your
uncle	NOUN	uncle
worked	VERB	work
it	PRON	it
at	ADV	at
all	ADV	all
?	PUNCT	?
""""	PUNCT	""""
questioned	VERB	question
Phil	PROPN	Phil
Lawrence	PROPN	Lawrence
.	PUNCT	.
""""	PUNCT	""""
Not	PART	not
much	ADJ	much
,	PUNCT	,
but	CCONJ	but
enough	NOUN	enough
to	PART	to
learn	VERB	learn
that	SCONJ	that
it	PRON	it
was	AUX	be
a	DET	a
valuable	ADJ	valuable
claim	NOUN	claim
.	PUNCT	.
It	PRON	it
was	AUX	be
in	ADP	in
a	DET	a
district	NOUN	district
that	PRON	that
had	AUX	have
been	AUX	be
visited	VERB	visit
by	ADP	by
landslides	NOUN	landslide
before	ADV	before
,	PUNCT	,
and	CCONJ	and
so	ADV	so
he	PRON	he
called	VERB	call
it	PRON	it
the	DET	the
Landslide	PROPN	Landslide
Mine	PROPN	Mine
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
Well	INTJ	well
,	PUNCT	,
your	PRON	your
uncle	NOUN	uncle
could	AUX	could
be	AUX	be
thankful	ADJ	thankful
for	ADP	for
one	NUM	one
thing	NOUN	thing
--	PUNCT	--
that	SCONJ	that
he	PRON	he
was	AUX	be
n't	PART	not
in	ADP	in
the	DET	the
mine	NOUN	mine
when	SCONJ	when
that	DET	that
big	ADJ	big
slide	NOUN	slide
took	VERB	take
place	NOUN	place
.	PUNCT	.
But	CCONJ	but
you	PRON	you
said	VERB	say
he	PRON	he
died	VERB	die
anyway	ADV	anyway
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
Yes	INTJ	yes
,	PUNCT	,
of	ADP	of
pneumonia	NOUN	pneumonia
,	PUNCT	,
on	ADP	on
the	DET	the
very	ADJ	very
day	NOUN	day
the	DET	the
slide	NOUN	slide
took	VERB	take
place	NOUN	place
.	PUNCT	.
Was	AUX	be
n't	PART	not
it	PRON	it
queer	ADJ	queer
?	PUNCT	?
Dad	NOUN	dad
and	CCONJ	and
mother	NOUN	mother
went	VERB	go
out	ADV	out
to	ADP	to
Butte	PROPN	Butte
,	PUNCT	,
to	ADP	to
the	DET	the
funeral	NOUN	funeral
--	PUNCT	--
Uncle	PROPN	Uncle
Maurice	PROPN	Maurice
was	AUX	be
an	DET	an
old	ADJ	old
bachelor	NOUN	bachelor
--	PUNCT	--
and	CCONJ	and
then	ADV	then
they	PRON	they
heard	VERB	hear
his	PRON	his
will	NOUN	will
read	VERB	read
and	CCONJ	and
learned	VERB	learn
about	ADP	about
the	DET	the
mine	NOUN	mine
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
And	CCONJ	and
